"Table 5.15: Water source protection estimates","","","","","",""
"GND No","Name of Spring and place","N","E","Observation","Description","Amount  LKR"
"527B","4.Kaluella Mada Spring","7.04578","80.93081",,"Vegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropVegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid intervalReplantingbamboospeciesandvetivergrassorriparianspecies","78,100"
"528C","1.Rathupas Ella","7.0244","80.922922","Water is taken for cultivation, drinking and bathing","12.5mm thick, rough ct.plaster in 1:3 cement sand mortar semi rough finish (UR55)Vegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","63,200"
"528C","3.kongowaththa","7.032315","80.921745","The water tank is constructed and drinking water is distributed. But that tank is damage and some places as leaking","12.5mm thick rough ct.plaster in 1:3 cement sand mortar semi rough finish (UR55)Vegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","44,383"
"528C","1.Rathupas Ella","7.0244","80.922922","A spring to be conserved","Vegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropVegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid interval","56,320"
"528C","2.Abagahamada","7.031092","80.926507","A spring to be conserved","Vegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropVegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid interval","74,800"
"528C","3.kongowaththa","7.032315","80.921745","A spring to be conserved","Vegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropVegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid interval","56,320"
"528D","Ambakotahena","7.03725","80.93011","The water tank is constructed for (3.5m x 1.5m x 0.8m,- LxWxH) drinking & bathing . But that tank is damaged","12.5mm thick, rough ct.plaster in 1:3 cement sand mortar semi rough finish (UR55)Providing PVC pipes, pipe joints, etc.. to convey water from the tank Vegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","49,032"
"528D","Wemulla","7.03614","80.92203","Currently, the lake is not in used","Removing silt from canal bed depth up to 9\" and canal clearing  Vegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","28,833"
"528D","Kalu ella","7.03963","80.92236","Currently not in used","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5
Vegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","768,900"
"528 D","Wemulla","7.03614","80.92203","Currently, the lake is not in used","Vegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropVegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid interval","58,960"
"530","Diyabubula Spring","7.01822","80.92066","Water is taken for drinking and bathing","Vegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropVegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid interval","74,800"
"530","Peragahahena Spring","7.02299","80.92077","Located in Maliyadda GND","Vegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropVegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid interval","74,800"
"530","1.Diyabubula","7.01741","80.92068","A spring to be conserved","Vegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropVegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid interval","101,200"
"530A","1.Kalugamuwa","7.0136","80.91662","It is a small lake. Used to water crops and raise corali fish.Located on Mr. B.M Nandasena's private land","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5Vegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","755,700"
"530A","3.Abagahawaththa","7.01625","80.9177","Water is taken for cultivation, drinking and bathing","Providind two 1.2 m diameter hum pipes","130,000"
"530A","4.Welegedara","7.01807","80.91548","Water is taken for cultivation, drinking and bathing","Providind two 1.2 m diameter hum pipes","130,000"
"530B","1.Keti Kandura","7.011154","80.907341","Currently a water source in the jungle and the water of this source is currently unused.can be seen abondon water tanks such as distrebution tanks","Vegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop12.5mm thick rough ct.plaster in 1:3 cement sand mortar semi rough finish (UR55)","35,459"
"530B","2.No.24 Ihala Maima","7.021554","80.914379","The small water tank is constructed and drinking water is distributed. But that tank is damage","Vegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop12.5mm thick rough ct.plaster in 1:3 cement sand mortar semi rough finish (UR55)","768,900"
"530B","3.Near the No.40 House","7.012636","80.913444","The water tank is constructed (1.8m x 1.8m x 1.1m, L*W*H) and drinking water is distributed. But that tank is damage","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5Vegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","768,900"
"530B","4.Mr W.M Kumarathunga Land Spring","7.014095","80.912181","The water tank is constructed (1.6m x 1.8m x 1.2m,- L*W*H) and drinking water is distributed. But that tank is damage","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5Vegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","768,900"
"530B","1.Keti Kandura","7.011154","80.907341","Natural forest","Vegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropVegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid interval","101,200"
"530B","2.No.24 Ihala Maima","7.021554","80.914379",,"Vegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropVegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid interval","58,960"
"530B","3.Near the No.40 House","7.012636","80.913444",,"Vegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropVegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid interval","101,200"
"530B","4.Mr W.M Kumarathunga Land Spring","7.014095","80.912181",,"Vegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropVegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid interval","101,200"
"530B","5.Maussakolaniya Pahala","7.01402","80.908323",,"Vegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropVegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid interval","74,800"
,,,,"Total",,"5,975,083"
