"Table 5.22: Cost estimate of stream protection related proposals with locations","","","","","",""
"GND No","Name of Spring and place","N","E","Observation","Description","Amount  LKR"
,,,,,"Planting Bamboo species and Vetiver grass or Riparian species",
,,,,,"Miscellaneous",
,,,,,"Contingencies 10%",
"528D","Kadurugasmulle kandura","7.03945","80.9215","During the rainy season when too much water flows, Bank erosion occurs","Vegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropVegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid intervalReplantingbamboospeciesandvetivergrassorriparianspeciesStream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m9\" thk flat Rubble paving in 1:6 Cement mortar","199,675"
"528D","Hakuruthenna kandura","7.04174","80.92467","During the rainy season when too much water flows, Bank erosion occurs","Vegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropVegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid intervalReplantingbamboospeciesandvetivergrassorriparianspeciesStream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m9\" thk flat Rubble paving in 1:6 Cement mortar","199,675"
"530","Bleyad lomad waththe kandura","7.0172","80.92554","During the rainy season when too much water flows, Bank erosion occurs","Vegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropVegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid intervalReplantingbamboospeciesandvetivergrassorriparianspeciesStream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m9\" thk flat Rubble paving in 1:6 Cement mortar","138,505"
"530","Diyabubula kandura","7.02152","80.91606","During the rainy season when too much water flows, Bank erosion occurs","Vegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropVegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid intervalReplantingbamboospeciesandvetivergrassorriparianspeciesStream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m9\" thk flat Rubble paving in 1:6 Cement mortar","168,205"
"530","Paththamale kandura","7.01483","80.92158","During the rainy season when too much water flows, Bank erosion occurs","Vegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropVegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid intervalReplantingbamboospeciesandvetivergrassorriparianspeciesStream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m9\" thk flat Rubble paving in 1:6 Cement mortar","168,205"
"530A","No",,,"During the rainy season when too much water flows, Bank erosion occurs","Vegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropVegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid intervalReplantingbamboospeciesandvetivergrassorriparianspeciesStream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m9\" thk flat Rubble paving in 1:6 Cement mortar","276,700"
"530B","Dunukepotha Kandura","7.011957","80.911638","During the rainy season when too much water flows, Bank erosion occurs","Vegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropVegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid intervalReplantingbamboospeciesandvetivergrassorriparianspeciesStream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m9\" thk flat Rubble paving in 1:6 Cement mortar","272,275"
"530B","Keti Kandura","7.011154","80.907341","During the rainy season when too much water flows, Bank erosion occurs","Vegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropVegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid intervalReplantingbamboospeciesandvetivergrassorriparianspeciesStream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m9\" thk flat Rubble paving in 1:6 Cement mortar","350,950"
"530B","Oeboda Oya","7.019307","80.910087","During the rainy season when too much water flows, Bank erosion occurs","Vegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropVegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid intervalReplantingbamboospeciesandvetivergrassorriparianspeciesStream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m9\" thk flat Rubble paving in 1:6 Cement mortar","528,050"
,,,,"Total",,"4,512,480"
