"Table 5.2: Key ON-FARM activities proposed for soil and water conservation in MWS-006-1","","","","","","","","","","","",""
"No.","GN.Division.No.","GN.Division","Key.Activities.proposed.for.Soil.and.Water.conservation","Priority.based.on.Soil.Erosion.Hazard","Coordinates","Quantity","Proposed.measure.s","Unit.Cost..LKR.","Total.Cost..LKR.","Contribution","Time.frame.for.the.implementation","NA."
" "," ",""," ","4","7.227433","80.738604","3 ha","","250 m-1","750,000","","0.25 Years"
" "," ",""," ","2","7.228718","80.736875","3 ha","","250 m-1","750,000","","0.25 Years"
" "," ",""," ","1","7.228773","80.736815","24 ha","","250 m-1","6,000,000","","1.5 Years"
"Sub Total","22,750,000"," "," ",,,,,,,,,
"4","1009","Meeruppa","1. Soil conservation practices - Marassana Adharsha School (90°)","3","7.21813","80.737256","10 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,500,000","Labour and other basic services by the Local community","0.5 Years"
" "," ","","2. Soil conservation practices - Marassana National College (80°)","1","7.216217","80.742572","14 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","3,500,000","Labour and other basic services by the Local community","1 Year"
" "," ","","3. Soil conservation practices - A.M. Indrakumari Dehikotuwa (30°)","4","7.215463","80.743023","6 ha","Lock and spills","400 m-1","2,400,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","8,400,000"," "," ",,,,,,,,,
"5","1010","Elikewela","1. Soil conservation practices - Elikewela Ambalama (30°)","4","7.212612","80.73386","20 ha","Lock and spills","400 m-1","8,000,000","Labour and other basic services by the Local community","1.5 Years"
" "," ","","2. Soil conservation practices - Elikewela Community Center (70°)","1","7.211417","80.736327","20 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","5,000,000","Labour and other basic services by the Local community","1.5 Years"
"Sub Total","13,000,000"," "," ",,,,,,,,,
"6","1011","Galagoda","1. Soil conservation practices - Panabokka Waththa (40°)","4","7.210170","80.748856","20 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","5,000,000","Labour and other basic services by the Local community","1.5 Years"
" "," ","","2. Soil conservation practices - Harankaduwa (80°)","4","7.210564","80.747880","0.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","125,000","Labour and other basic services by the Local community","0.25 Years"
" "," ","","3. Soil conservation practices - Murapola Ela and Main Road (65°)","1","7.207576","80.750041","8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,000,000","Labour and other basic services by the Local community","0.5 Years"
" "," ","","4. Soil conservation practices - Meeriyakada (45°)","1","7.207727","80.738520","10 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,500,000","Labour and other basic services by the Local community","0.5 Years"
"Sub Total","9,625,000"," "," ",,,,,,,,,
"7","1012","Kiriwanagoda","1. Soil conservation practices - Dangamuwa (20°)","1","7.20626","80.748640","4 ha","Lock and spills","400 m-1","1,600,000","Labour and other basic services by the Local community","0.25 Years"
" "," "," ","2. Soil conservation practices - Dangamuwa Oya (80 - 90°)","1","7.20699","80.742878","1 km","Clearing and planting some trees along the banks (Kumbuk) and other conservation practices, Planting 'Epala'; Having stream reservations"," ","100,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","1,700,000"," "," ",,,,,,,,,
"8","1013","Kandewela","1. Soil conservation practices - Wasantha Bandara Subasingha,  (60°)","3","7.217746","80.725718","8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,000,000","Labour and other basic services by the Local community","0.5 Years"
" "," ","","2. Soil conservation practices - Either sides of Kandewela Oya (70°)","5","7.215057","80.72244","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,000,000","Labour and other basic services by the Local community","0.25 Years"
" "," ","","3. Soil conservation practices - Batakandu Kumbure Waththa (35°)","5","7.214117","80.72214","6 ha","Lock and spills","400 m-1","2,400,000","Labour and other basic services by the Local community","0.5 Years"
" "," "," ","4. Soil conservation practices - Wasala Waththa Yaya (80°)","5","7.21346","80.723655","0.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","125,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","5,525,000"," "," ",,,,,,,,,
"9","1014","Bowlana","1. Soil conservation practices - Dangamuwa (60°)","3","7.208896","80.718301","0.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","125,000","Labour and other basic services by the Local community","0.25 Years"
" "," ","","2. Soil conservation practices - Dangamuwa (70°)","2","7.206347","80.719561","12 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","3,000,000","Labour and other basic services by the Local community","1 Year"
" "," "," ","3. Soil conservation practices - Dangamuwa (70°)","1","7.205575","80.720157","0.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","125,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","3,250,000"," "," ",,,,,,,,,
"10","1015","Oluwawaththa","1. Soil conservation practices - Pasgama Raja Maha Viharaya (80°)","3","7.202847","80.733192","25 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","6,250,000","Labour and other basic services by the Local community","1.5 Years"
" "," ",""," "," "," ",""," ","Planting perenial crops like pepper, coffee etc."," ",""," "," "
" "," ","","2. Soil conservation practices - A.J. Nandasena (70°)","3","7.201317","80.734616","25 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","6,250,000","Labour and other basic services by the Local community","1.55 Years"
" "," "," "," "," "," "," "," ","Planting perenial crops like pepper, coffee etc."," ",""," "," "
"Sub Total","12,500,000"," "," ",,,,,,,,,
"11","1016","Hewawissa East","1. Soil conservation practices - Udakotuwa, Hewawissa (60°)","5","7.205896","80.731789","25 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","6,250,000","Labour and other basic services by the Local community","0.25 Years"
" "," ","","2. Soil conservation practices - Pansal Waththa (70°)","5","7.204890","80.732938","25 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","6,250,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","12,500,000"," "," ",,,,,,,,,
"12","1017","Hewawissa West","1. Soil conservation practices - Udawaththa Gedara (40°)","5","7.207958","80.73089","15 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied"," 250 m-1 ","3,750,000","Labour and other basic services by the Local community","0.5 Years"
" "," "," ","2. Soil conservation practices - Ambakotuwa (40°)","5","7.208792","80.729065","15 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","3,750,000","Labour and other basic services by the Local community","0.5 Years"
" "," "," "," "," "," ",""," ","Planting perenial crops like pepper, coffee etc."," ","",""," "
"Sub Total","7,500,000"," "," ",,,,,,,,,
"13","1018","Bopitiya","1. Soil conservation practices - Bopitiya Rajasinghe National College (10 - 60°)","4","7.195248","80.743376","2.25 ha","Stone terracing","2,500 m-1","5,625,000","Labour and other basic services by the Local community","0.5 Years"
" "," ",""," ","1","7.196453","80.744731","1.5 ha","Live fencing/SALT","250 m-1","375,000","Labour and other basic services by the Local community","0.5 Years"
" "," ","","2. Soil conservation practices - Rathpaha (80°)","3","7.1952397","80.737731","20 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","5,000,000","Labour and other basic services by the Local community","1.5 Years"
" "," ","","3. Soil conservation practices - Tharahalpatha Kanda (80°)"," "," ","","20 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","5,000,000","Labour and other basic services by the Local community","1.5 Years"
" "," "," ","4. Soil conservation practices - Middle of Bopitiya (60°)","1","7.199491","80.737332","6 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,500,000","Labour and other basic services by the Local community","0.5 Years"
"Sub Total","17,500,000"," "," ",,,,,,,,,
"14","1022","Ududeniya Madihe","1. Soil conservation practices - Ududeniya Muslim College (90°)","3","7.202302","80.746565","6 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,500,000","Labour and other basic services by the Local community","0.5 Years"
" "," ","","2. Soil conservation practices - Ududeniya Waldeniya Road (30°)","4","7.203822","80.745822","13 ha","Live fencing/SALT - 10 ha","250 m-1","2,500,000","Labour and other basic services by the Local community","1 Year"
" "," ",""," "," "," ",""," ","Stone terracing 3 ha","2,500 m-1","7,500,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","11,500,000"," "," ",,,,,,,,,
"15","1023","Ududeniya","1. Soil conservation practices - Gurubedda (60 - 70°)","4","7.199689","80.747137","2.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","625,000","Labour and other basic services by the Local community","0.25 Years"
" "," ",""," ","5","7.19994","80.747466","10 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,500,000","Labour and other basic services by the Local community","0.5 Years"
" "," ","","2. Soil conservation practices - From Ududeniya to Bopitiya (60 - 70°) ","5","7.198016","80.744471","8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,000,000","Labour and other basic services by the Local community","0.5 Years"
"Sub Total","5,125,000"," "," ",,,,,,,,,
"Grand Total","154,250,000"," "," ",,,,,,,,,
