No,GN Division No.,GN Division,Key Activities proposed for Soil and Water conservation,Priority based on Soil Erosion Hazard,Sub Item No.,N or X,E or Y,Add.Coordinates,Quantity,Proposed measure/s,Unit Cost (Rs.),Total Cost (Rs.),Total Cost per GN (Rs.),"Contribution (Local Community, LA, and the project)",The time frame for the implementation
73,1017,Hewawissa West,1. Development of natural drains - Kandura at U.M. Punchibanda's Home garden,5,1,7.208792,80.729065,,40 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"4, 000",,Labour and other basic services by the Local community,0.25 Years
74,1017,Hewawissa West,2. Development of natural drains - Ambakoluwa Kandura,1,1,7.20913,80.727655,,2 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"200, 000",,Labour and other basic services by the Local community,0.25 Years
75,1017,Hewawissa West,3. Development of natural drains - Gallana Mulla Kandura,4,1,7.20929,80.727328,,1 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"100, 000",,Labour and other basic services by the Local community,0.25 Years
76,1017,Hewawissa West,4. Development of natural drains - Panupe Kandura,4,1,7.207305,80.730052,,1.5 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"150, 000",,Labour and other basic services by the Local community,0.25 Years
77,1017,Hewawissa West,5. Development of natural drains - Panupe Athuru Kandura,5,1,7.207684,80.729896,,0.5 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"50, 000",,Labour and other basic services by the Local community,0.25 Years
78,1017,Hewawissa West,6. Development of natural drains - Horane Kandura,5,1,7.209123,80.724384,,2 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"200, 000",,Labour and other basic services by the Local community,0.25 Years
79,1017,Hewawissa West,7. Soil conservation practices - Udawaththa Gedara (40°),5,1,7.207958,80.73089,,15 ha,"Live fencing/SALT
Stone terracing
Planting perennial crops like pepper, coffee etc.",250 m-1,"3, 750, 000",,Labour and other basic services by the Local community,0.5 Years
80,1017,Hewawissa West,8. Soil conservation practices - Ambakotuwa (40°),5,1,7.208792,80.729065,,15 ha,"Live fencing/SALT
Stone terracing
Planting perennial crops like pepper, coffee etc.",250 m-1,"3, 750, 000",,Labour and other basic services by the Local community,0.5 Years
81,1017,Hewawissa West,"9. Retaining wall - K.B.G. Rosalin, Ambakotuwa (80°)",4,1,7.208899,80.72873,,20 m x 6 m,Retaining/Side wall,"2, 000 m-2","240, 000","8, 444, 000",Labour and other basic services by the Local community,0.5 Years
82,1018,Bopitiya,1. Development of natural drains - Kandura at Mr. Ginasekara house,4,1,7.196457,80.742275,,700 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"70, 000",,Labour and other basic services by the Local community,0.5 Years
83,1018,Bopitiya,2. Development of natural drains - Ganegodapitiya Kandura,5,1,7.1966468,80.740715,,500 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"50, 000",,Labour and other basic services by the Local community,0.5 Years
84,1018,Bopitiya,3. Development of natural drains - Kandura at Mr. Manoj,5,1,7.19542582,80.737992,,2 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"200, 000",,Labour and other basic services by the Local community,0.5 Years
85,1018,Bopitiya,4. Development of natural drains - Kandura at Ms. Dhanawathi,4,1,7.195151,80.737426,,1.5 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"150, 000",,Labour and other basic services by the Local community,0.5 Years
86,1018,Bopitiya,5. Development of natural drains - Kandura at Dandumulla house,1,1,7.19454,80.735994,,1.5 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"150, 000",,Labour and other basic services by the Local community,0.5 Years
87,1018,Bopitiya,6. Development of natural drains - Kandura at Mr. Dharmasiri,1,1,7.194427,80.735848,,1.5 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"150, 000",,Labour and other basic services by the Local community,0.5 Years
88,1018,Bopitiya,7. Development of natural drains - Bopitiya Oya,,1,,,,2 km,"Clearing and planting some trees along the banks (Areca nut, Epala, Bamboo) and other conservation practices",,"200, 000",,Labour and other basic services by the Local community,0.5 Years
89,1018,Bopitiya,8. Development of natural drains - Udumulla Kandura,5,1,7.193813,80.735425,,1.5 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"150, 000",,Labour and other basic services by the Local community,0.5 Years
90,1018,Bopitiya,9. Development of natural drains - Kandura at Mr. Ajith,1,1,7.19497,80.735757,,2 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"200, 000",,Labour and other basic services by the Local community,0.5 Years
91,1018,Bopitiya,10. Development of natural drains - Kandura at Mr. Dasarathne,3,1,7.197977,80.736539,,2 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"200, 000",,Labour and other basic services by the Local community,0.5 Years
92,1018,Bopitiya,11. Development of natural drains - Kandura at Mr. Dhanawansha,4,1,7.198703,80.737013,,2.5 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"250, 000",,Labour and other basic services by the Local community,0.5 Years
93,1018,Bopitiya,"12. Development of natural drains - Kandura at EDO Office, Kolethenna",4,1,7.196346,80.738776,,400 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"40, 000",,Labour and other basic services by the Local community,0.5 Years
94,1018,Bopitiya,13. Soil conservation practices - Bopitiya Rajasinghe National College (10 - 60°),4,1,7.195248,80.743376,,2.25 ha,Stone terracing,"2, 500 m-1","5, 625, 000",,Labour and other basic services by the Local community,0.5 Years
95,1018,Bopitiya,,1,2,7.196453,80.744731,,1.5 ha,Live fencing/SALT,250 m-1,"375, 000",,Labour and other basic services by the Local community,0.5 Years
96,1018,Bopitiya,14. Soil conservation practices - Rathpaha (80°),3,1,7.1952397,80.737731,,20 ha,"Live fencing/SALT
Stone terracing",250 m-1,"5, 000, 000",,Labour and other basic services by the Local community,0.5 Years
97,1018,Bopitiya,15. Soil conservation practices - Tharahalpatha Kanda (80°),,1,,,,20 ha,"Live fencing/SALT
Stone terracing",250 m-1,"5, 000, 000",,Labour and other basic services by the Local community,0.5 Years
98,1018,Bopitiya,16. Soil conservation practices - Middle of Bopitiya (60°),1,1,7.199491,80.737332,,6 ha,Live fencing/SALT,250 m-1,"1, 500, 000","19, 310, 000",Labour and other basic services by the Local community,0.5 Years
99,1022,Ududeniya Madihe,1. Development of natural drains - Kandura at Ududeniya Muslim College,1,1,7.202998,80.746378,,500 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"50, 000",,Labour and other basic services by the Local community,0.25 Years
100,1022,Ududeniya Madihe,2. Development of natural drains - Wewe Kumbura  Kandura,1,1,7.20565,80.74555,,200 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"20, 000",,Labour and other basic services by the Local community,0.25 Years
101,1022,Ududeniya Madihe,3. Soil conservation practices - Ududeniya Muslim College (90°),3,1,7.202302,80.746565,,6 ha,Live fencing/SALT,250 m-1,"1, 500, 000",,Labour and other basic services by the Local community,0.25 Years
102,1022,Ududeniya Madihe,4. Soil conservation practices - Ududeniya Waldeniya Road (30°),4,1,7.203822,80.745822,,13 ha,"Live fencing/SALT - 10 ha
Stone terracing 3 ha","250 m-1
2, 500 m-1","2, 500, 000
7, 500, 000",,"Labour and other basic services by the Local community
Labour and other basic services by the Local community","0.5 Years
0.25 Years"
103,1022,Ududeniya Madihe,5. Soil conservation practices - Priest's Quaters (90°),3,1,7.2028479,80.7443007,,0.25 ha/5 m x 3 m,Retaining wall,"2, 000 m-2","30, 000",,Labour and other basic services by the Local community,0.25 Years
104,1022,Ududeniya Madihe,6. Establishing a retaining wall - Ududeniya Muslim College,5,1,7.202347,80.746505,,3 m x 1.5 m,Retaining wall,"2, 000 m-2","9, 000",,Labour and other basic services by the Local community,0.25 Years
105,1022,Ududeniya Madihe,7. Establishing a retaining wall - Old Mosque Road,3,1,7.201802,80.74681,,10 m x 5 m,Retaining wall,"2, 000 m-2","100, 000",,Labour and other basic services by the Local community,0.25 Years
106,1022,Ududeniya Madihe,8. Establishing a retaining wall - Madihe Urumaniya,3,1,7.201387,80.744293,,5 m x 2.5 m,Retaining wall,"2, 000 m-2","25, 000","11, 734, 000",Labour and other basic services by the Local community,0.25 Years
107,1023,Ududeniya,1. Development of natural drains - Ududeniya Kandura,1,1,7.20118,80.742254,,750 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"75, 000",,Labour and other basic services by the Local community,0.25 Years
108,1023,Ududeniya,2. Development of natural drains - Kandura 2,5,1,7.198437,80.744845,,2 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"200, 000",,Labour and other basic services by the Local community,0.25 Years
109,1023,Ududeniya,3. Development of natural drains - Kandura 3,5,1,7.197953,80.744172,,4 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"400, 000",,Labour and other basic services by the Local community,0.25 Years
110,1023,Ududeniya,4. Development of natural drains - Kandura 4,5,1,7.197561,80.743618,,450 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"45, 000",,Labour and other basic services by the Local community,0.25 Years
111,1023,Ududeniya,5. Soil conservation practices - Gurubedda (60 - 70°),4,1,7.199689,80.747137,,2.5 ha,Live fencing/SALT,250 m-1,"625, 000",,Labour and other basic services by the Local community,0.25 Years
112,1023,Ududeniya,,5,2,7.19994,80.747466,,10 ha,"Live fencing/SALT
Stone terracing",250 m-1,"2, 500, 000",,Labour and other basic services by the Local community,0.25 Years
113,1023,Ududeniya,6. Soil conservation practices - From Ududeniya to Bopitiya (60 - 70°),5,1,7.198016,80.744471,,8 ha,"Live fencing/SALT
Stone terracing",250 m-1,"2, 000, 000","5, 845, 000",Labour and other basic services by the Local community,0.25 Years
