"Table 5.3: Key OFF-FARM activities proposed for soil and water conservation in MWS-006-1","","","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","ON OFF FARM","Coordinates","Quantity","Proposed measure s","Unit Cost  LKR","Total Cost  LKR","Contribution","Time frame for the implementation","NA"
,,,"9. Retaining wall - K.B.G. Rosalin, Ambakotuwa (80°)","4","OFF","7.208899","80.72873","20 m x 3 m","Retaining Wall (Concrete)",,"2,332,000","By the prohject","0.25 Years"
"Sub Total","2,836,000",,,,,,,,,,,,
"13","1018","Bopitiya","1. Development of natural drains - Kandura at Mr. Ginasekara house","4","OFF","7.196457","80.742275","700 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices",,"70,000","Labour and other basic services by the Local community/Sharamadana","0.5 Years"
,,,"2. Development of natural drains - Ganegodapitiya Kandura","5","OFF","7.1966468","80.740715","500 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices",,"50,000","Labour and other basic services by the Local community/Sharamadana","0.5 Years"
,,,"3. Development of natural drains - Kandura at Mr. Manoj","5","OFF","7.19542582","80.737992","2 km","Clearing and planting some trees along the banks (Arecanut) and other conservation practices",,"200,000","Labour and other basic services by the Local community/Sharamadana","0.5 Years"
,,,"4. Development of natural drains - Kandura at Ms. Dhanawathi","4","OFF","7.195151","80.737426","1.5 km","Clearing and planting some trees along the banks (Arecanut) and other conservation practices",,"150,000","Labour and other basic services by the Local community/Sharamadana","0.5 Years"
,,,"5. Development of natural drains - Kandura at Dandumulla house","1","OFF","7.19454","80.735994","1.5 km","Clearing and planting some trees along the banks (Arecanut) and other conservation practices",,"150,000","Labour and other basic services by the Local community/Sharamadana","0.5 Years"
,,,"6. Development of natural drains - Kandura at Mr. Dharmasiri","1","OFF","7.194427","80.735848","1.5 km","Clearing and planting some trees along the banks (Arecanut) and other conservation practices",,"150,000","Labour and other basic services by the Local community/Sharamadana","0.5 Years"
,,,"7. Development of natural drains - Bopitiya Oya",,"OFF",,,"2 km","Clearing and planting some trees along the banks (Arecanut, Epala, Bamboo) and other conservation practices",,"200,000","Labour and other basic services by the Local community/Sharamadana","0.5 Years"
,,,"8. Development of natural drains - Udumulla Kandura","5","OFF","7.193813","80.735425","1.5 km","Clearing and planting some trees along the banks (Arecanut) and other conservation practices",,"150,000","Labour and other basic services by the Local community/Sharamadana","0.5 Years"
,,,"9. Development of natural drains - Kandura at Mr. Ajith","1","OFF","7.19497","80.735757","2 km","Clearing and planting some trees along the banks (Arecanut) and other conservation practices",,"200,000","Labour and other basic services by the Local community/Sharamadana","0.5 Years"
,,,"10. Development of natural drains - Kandura at Mr. Dasarathne","3","OFF","7.197977","80.736539","2 km","Clearing and planting some trees along the banks (Arecanut) and other conservation practices",,"200,000","Labour and other basic services by the Local community/Sharamadana","0.5 Years"
,,,"11. Development of natural drains - Kandura at Mr. Dhanawansha","4","OFF","7.198703","80.737013","2.5 km","Clearing and planting some trees along the banks (Arecanut) and other conservation practices",,"250,000","Labour and other basic services by the Local community/Sharamadana","0.5 Years"
,,,"12. Development of natural drains - Kandura at EDO Office, Kolethenna","4","OFF","7.196346","80.738776","400 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices",,"40,000","Labour and other basic services by the Local community/Sharamadana","0.5 Years"
"Sub Total","1,810,000",,,,,,,,,,,,
"14","1022","Ududeniya Madihe","1. Development of natural drains - Kandura at Ududeniya Muslim College","1","OFF","7.202998","80.746378","500 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices",,"50,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
,,,"2. Development of natural drains - Wewe Kumbura Kandura","1","OFF","7.20565","80.74555","200 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices",,"20,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
,,,"5. Establishing a retainng wall  - Priest's Quarters","4","OFF","7.2028479","80.7443007","5 m x 3 m","Retaining Wall (Concrete)",,"588,500","By the prohject","0.25 Years"
,,,"6. Establishing a retainng wall - Ududeniya Muslim College","5","OFF","7.202347","80.746505","3 m x 2 m","Retaining Wall (Masonary)",,"132,000","By the prohject","0.25 Years"
,,,"7. Establishing a retainng wall - Old Mosque Road","3","OFF","7.201802","80.74681","10 m x 3 m","Retaining Wall (Concrete)",,"1,171,500","By the prohject","0.25 Years"
,,,"8. Establishing a retainng wall - Madihe Urumaniya","3","OFF","7.201387","80.744293","5 m x 2 m","Retaining Wall (Masonary)",,"220,000","By the prohject","0.25 Years"
"Sub Total","2,182,000",,,,,,,,,,,,
"15","1023","Ududeniya","1. Development of natural drains - Ududeniya Kandura","1","OFF","7.20118","80.742254","750 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices",,"75,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
,,,"2. Development of natural drains - Kandura 2","5","OFF","7.198437","80.744845","2 km","Clearing and planting some trees along the banks (Arecanut) and other conservation practices",,"200,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
,,,"3. Development of natural drains - Kandura 3","5","OFF","7.197953","80.744172","4 km","Clearing and planting some trees along the banks (Arecanut) and other conservation practices",,"400,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
,,,"4. Development of natural drains - Kandura 4","5","OFF","7.197561","80.743618","450 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices",,"45,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
"Sub Total","720,000",,,,,,,,,,,,
"Grand Total","60,204,000",,,,,,,,,,,,
