No,GND No.,Name of the Torrent/ Stream/ Canal,Location N,Location E,Current status,Description,Amount
11,510,Balumgoda Torrent,7.08064,80.790254,Bank erosion on both sides.,"Vegetative cover improving with Areca nut seedling at 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching","667,500"
12,510,Ukgahabokka Torrent (Rathhinda),7.078874,80.785502,Bank erosion on both sides.,"Vegetative cover improving with Areca nut seedling at 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching","667,500"
13,511 F,Waterfall near Kalu Palama (Deegal Oya),7.064643,80.76484,High bank erosion on both sides.,"Vegetative cover improving with Areca nut seedling at 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching","801,000"
14,511 F,Torrent separates Katahira Udagabbala gama,7.063622,80.768952,Bank erosion on both sides.,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","164,500"
15,511,Hunuketa Torrent,7.078888,80.785354,Soil erosion of lands on both sides.,"Construction of leader drain across streams - 1m(W) x 1 m(H)
Vegetative cover improving with Areca nut seedling at 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching","700,000"
16,511,Kakunawatta seasonal canal,7.075574,80.786284,Soil erosion of lands on both sides.,Construction of leader drain across streams - 1m(W) x 1 m(H),"100,000"
17,511,Belihul Oya,7.075587,80.786483,Soil erosion of lands on both sides.,Construction of leader drain across streams - 1m(W) x 1 m(H),"500,000"
18,511,Kakunawatta Torrent,7.07575,80.785067,Soil erosion of lands on both sides.,"Construction of leader drain across streams - 1m(W) x 1 m(H)
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","500,000"
19,511 B,Pita Ela,7.083659,80.788691,Bank erosion on both sides.,Construction of leader drain across streams - 1m(W) x 1 m(H),"250,000"
20,511 C,Pita Ela in Ela Amuna Ela,7.080778,80.780894,Bank erosion on both sides.,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","117,500"
21,511 C,Rathhinda Torrent,7.080526,80.779695,Bank erosion on both sides.,"Vegetative cover improving with Areca nut seedling at 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching","801,000"
22,510 A,Belihul Oya,7.092453,80.797973,Bank erosion on both sides.,"Vegetative cover improving with Areca nut seedling at 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching",
23,510 A,Maha Torrent,7.095711,80.797866,Bank erosion on both sides.,"Vegetative cover improving with Areca nut seedling at 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching","801,000"
24,510 A,Maha Torrent,7.095724,80.796044,-,-,-
25,510 A,Alakola Bokkuwa Torrent,7.09195,80.796331,Bank erosion on both sides due to the heavy flow of water in rainy days,Construction of leader drain across streams - 1m(W) x 1 m(H),"200,000"
