"Table 5.2: Key ON-FARM activties proposed for soil and water conservation in MWS-012 belongs to Hanguranketha DS Division","","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","Coordinates","Quantity","Proposed measure s","Unit Cost  LKR","Total Cost  LKR","Contribution","Time frame for the implementation","NA"
,,,"4. Soil conservation practices - Sellajja Kumbura  (60°)","1","7.56068","80.790278","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,000,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","4,800,000",,,,,,,,,,,
"10","494A","Dolugala","1. Soil conservation practices - Udathenna (45°)","2","7.166799","80.765258","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,000,000","Labour and other basic services by the Local community","0.5 Years"
,,,"2. Soil conservation practices - Rathmetiya Gama (85°)","4","7.152286","80.776146","28 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","7,000,000","Labour and other basic services by the Local community","1.5 Years"
,,,"3. Soil conservation practices - Dolugala (60°)","4","7.150927","80.776967","26 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","6,500,000","Labour and other basic services by the Local community","1.5 Years"
,,,"4. Soil conservation practices - Dolugala (85°)","4","7.151607","80.776729","1 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","250,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","14,750,000",,,,,,,,,,,
"11","495","Hanguranketha","1. Soil conservation practices - Sirimawo Vidyalaya (75°)","3","7.174867","80.779541","1 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","250,000","Labour and other basic services by the Local community","0.25 Years"
,,,"2. Soil conservation practices - Diyathilake government lands (70°)","1","7.171795","80.783499","20 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","5,000,000","Labour and other basic services by the Local community","1.5 Years"
"Sub Total","5,250,000",,,,,,,,,,,
"12","496","Hapuwala","1. Soil conservation practices - Tank reserve (60°)","1","7.169482","80.759103","0.25 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","62,500","Labour and other basic services by the Local community","0.25 Years"
,,,"2. Soil conservation practices - Hapuwala (60°)","4","7.168879","80.75798","80 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","20,000,000","Labour and other basic services by the Local community","1.5 Years"
,,,"3. Soil conservation practices - Hapuwala (50°)","3","7.165713","80.764899","6 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,500,000","Labour and other basic services by the Local community","0.5 Years"
,,,"4. Soil conservation practices - Dodamgolla (60°)","3","7.163908","80.763825","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,000,000","Labour and other basic services by the Local community","0.25 Years"
,,,"5. Soil conservation practices - Reserve on both sides of the Dodamgolla Kandura (70°)","1","7.164147","80.763918","0.4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","100,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","22,662,500",,,,,,,,,,,
"13","493A","Kottala","1. Soil conservation practices - Diyathala Kanda (25°)","2","7.167321","80.787954","20.8 ha","Lock and spills and stone terracing/live fencing, as applied","400 m-1","8,320,000","Labour and other basic services by the Local community","0.5 Years"
,"8,320,000",,,,,,,,,,,
"14","493","Madanwala","1. Soil conservation practices - Near Madanwala temple (65°)","2","7.16192","80.779464","2.8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","700,000","Labour and other basic services by the Local community","0.25 Years"
,,,"2. Soil conservation practices - Near Madanwala temple (70°)","1","7.162225","80.778905","2.8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","700,000","Labour and other basic services by the Local community","0.25 Years"
,,,"3. Soil conservation practices - Walalawela (85°)","2","7.160648","80.778004","20 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","5,000,000","Labour and other basic services by the Local community","1.5 Years"
"Sub Total","6,400,000",,,,,,,,,,,
"15","495C","Pallemaluwa","1. Soil conservation practices - Poodagoda (45°)","2","7.182192","80.772375","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,000,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","1,000,000",,,,,,,,,,,
"16","495A","Pussalamankada","1. Soil conservation practices - Diknna Yaya (65°)","1","7.188053","80.766145","1 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","250,000","Labour and other basic services by the Local community","0.5 Years"
,,,"2. Soil conservation practices - Moragolla (30°)","5","7.190319","80.763756","0.5 ha","Lock and spills and stone terracing/live fencing, as applied","400 m-1","200,000","Labour and other basic services by the Local community","0.5 Years"
,,,"3. Soil conservation practices - Moragolla (80°)","5","7.191923","80.767271","24 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","6,000,000","Labour and other basic services by the Local community","1.5 Years"
,,,"4. Soil conservation practices - Moragolla (80°)","4","7.192513","80.767516","5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,250,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","7,700,000",,,,,,,,,,,
"17","494C","Rathmetiya","1. Soil conservation practices - Rathmetiya Thawana Reserve (50°)","3","7.156648","80.768056","26 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","6,500,000","Labour and other basic services by the Local community","0.5 Years"
,,,"2. Soil conservation practices - Thawana Reserve (70°)","5","7.158959","80.766728","3 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","750,000","Labour and other basic services by the Local community","0.25 Years"
,,,"3. Soil conservation practices - Rathmetiya Upper Part (45°)","5","7.153821","80.772766","8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,000,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","9,250,000",,,,,,,,,,,
"18","497A","Rekitipe","1. Soil conservation practices - Helapita (60°)","2","7.173936","80.750072","12 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","3,000,000","Labour and other basic services by the Local community","0.75 Years"
,,,"2. Soil conservation practices - Rakitpe (70°)","4","7.17105","80.753547","0.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","125,000","Labour and other basic services by the Local community","0.25 Years"
,,,"3. Soil conservation practices - Naran Kandura Reserve (60°)","5","7.17119","80.753041","6.4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,600,000","Labour and other basic services by the Local community","0.5 Years"
"Sub Total","4,725,000",,,,,,,,,,,
"19","492A","Rikillagaskada","1. Soil conservation practices - Helapita (70°) - Diyabubula","2","7.147654","80.784004","24 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","6,000,000","Labour and other basic services by the Local community","1.5 Years"
"Sub Total","6,000,000",,,,,,,,,,,
"20","492C","Walalawela","1. Soil conservation practices (75°) - Walalawela","4","7.157258","80.779805","4.8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,200,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","1,200,000",,,,,,,,,,,
"21","495B","Yati Hanguranketha","1. Soil conservation practices (85°) - (Dewalkona Alawala)lands on both sides of the river","4","7.184935","80.760787","1.2 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","300,000","Labour and other basic services by the Local community","0.25 Years"
,,,"2. Soil conservation practices (50°) - Monarapola","2","7.186288","80.766064","2.4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","600,000","Labour and other basic services by the Local community","0.25 Years"
,,,"3. Soil conservation practices (80°) - Both sides of the Monarapola Kandura","4","7.186086","80.766337","0.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","125,000","Labour and other basic services by the Local community","0.25 Years"
,,,"4. Soil conservation practices (45°) - Monarapola","1","7.186011","80.7669","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,000,000","Labour and other basic services by the Local community","0.5 Years"
"Sub Total","2,025,000",,,,,,,,,,,
,,,,,,,,"Grand Total",,"109,132,500",,
