"Table 5.18: Total Cost Estimate for Stream Reservation Proposals","","","","","",""
"GND No","Name of the Torrent","Co ordinates","Problem","Recommendation","Estimated Cost  Rs","NA"
"493","Walalawela Oya","7.159968","80.77821","Soil erosion","1. Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop.2. Boulder /Rubble dams (SABO) across streams to trap sediment-Size 3m(L)x1m(W)","369720"
"494 C","Dodamgolla Mada kadura 1","7.159808","80.76543","Land erosion on both sides of the torrent during rainy days","1. Construction of leader drain across streams -1m(W)x1m(H).2. Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop","321100"
"494 C","Torrent near Abeykoon's house","7.153821","80.77277","A heavy stream of water flows through the torrent on rainy days","1. Construction of leader drain across streams -1m(W)x1m(H).2. Boulder /Rubble dams (SABO) across streams to trap sediment-Size 3m(L)x2m(W)x1m(H)","637000"
"494 C","Bogahalanga Kandura","7.151489","80.77395","Land erosion on both sides of the torrent during rainy days","1. Construction of leader drain across streams -1m(W)x1m(H).2. Boulder /Rubble dams (SABO) across streams to trap sediment-Size 3m(L)x2m(W)x1m(H).3. Vegetative cover improving with Areca nut seedling at 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval,  4. Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop","1015040"
"494 C","Torrent in the boundary of Rathmetiya and Rikillagaskada","7.147793","80.77772","Land erosion on both sides of the torrent during rainy days","1. Construction of 1.5m high x 0.15m thick RCC wall (0.8m base).2. Construction of leader drain across streams -1m(W)x1m(H). 3. Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop","1118000"
"494","Dead torrent in Damunumeya Kotawegedara road","7.171749","80.77752","A large earth embankment near the road has been breached and is highly eroded","1. Construction of leader drain across streams -1m(W)x1m(H).2. Construction of 2.1m high RR masonry  wall (with section 0.60x0.75, 0.45x0.75, 0.30x0.60) over 0.90m width x 0.15m thick screed  concrete, plastering with 1:3 Menet mortar and back filling.3. Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop.","521950"
"494","Torrent near madawela Yaya","7.168947","80.77641","bank erosion on both sides","1. Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop.2. Boulder /Rubble dams (SABO) across streams to trap sediment-Size 3m(L)x2m(W)x1m(H).3. Vegetative cover improving with Areca nut seedling at 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval.","430820"
"494","Randeniye Kandura","7.16801","80.77693","bank erosion on both sides","1. Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop.","91650"
"494 D","Kottagaha Wella Kandura","7.171728","80.76999","bank erosion on both sides","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop.","122200"
"494 D","Dehipe Kandura","7.17057","80.76877","River bank erosion and dumping of garbage","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop.","91650"
"494 E","Alawala Oya","7.173447","80.77512","Soil erosion","1. Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop.2. Boulder /Rubble dams (SABO) across streams to trap sediment-Size 3m(L)x2m(W)x1m(H).3. Vegetative cover improving with Areca nut seedling at 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval","213850"
"494 E","Pilapitiya Kandura","7.17743","80.77419","Soil erosion","1. Boulder /Rubble dams (SABO) across streams to trap sediment-Size 3m(L)x2m(W)x1m(H).2. Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop.3.  Vegetative cover improving with Areca nut seedling at 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval.","678340"
"495 B","Monarapola Kandura","7.189584","80.76394","bank erosion on both sides","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop.","91650"
"495 B","Ma Oya","7.190609","80.76348","bank erosion on both sides","1. Boulder /Rubble dams (SABO) across streams to trap sediment-Size 3m(L)x2m(W)x1m(H),2. Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop.3.  Vegetative cover improving with Areca nut seedling at 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval.","2695680"
"495 A","Torrent near Gannila paddy fields","7.186178","80.7692","Excessive bank erosion on both sides","1. Boulder /Rubble dams (SABO) across streams to trap sediment-Size 3m(L)x2m(W)x1m(H).2. Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop.3. Vegetative cover improving with Areca nut seedling at 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval.","892190"
"495 C","Torrent near Poodagoda paddy fields","7.182251","80.77346","bank erosion on both sides","1. Boulder /Rubble dams (SABO) across streams to trap sediment-Size 3m(L)x2m(W)x1m(H)2. Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop.3. Vegetative cover improving with Areca nut seedling at 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval.","678340"
"494 A","Dolugala Torrent No.1 (Dead torrent)","7.166891","80.76513","Land erosion","1. Construction of leader drain across streams -1m(W)x1m(H).2. Boulder /Rubble dams (SABO) across streams to trap sediment-Size 3m(L)x2m(W)x1m(H). 3. Vegetative cover improving with Areca nut seedling at 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval","963040"
"494 A","Torrent No.2","7.149433","80.77832","Land erosion","1. Construction of leader drain across streams -1m(W)x1m(H).2. Boulder /Rubble dams (SABO) across streams to trap sediment-Size 3m(L)x2m(W)x1m(H). 3. Vegetative cover improving with Areca nut seedling at 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval.4. Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop.","568620"
"494 A","Torrent No.3","7.14904","80.77761","Land erosion","1. Construction of leader drain across streams -1m(W)x1m(H).2. Boulder /Rubble dams (SABO) across streams to trap sediment-Size 3m(L)x2m(W)x1m(H). 3. Vegetative cover improving with Areca nut seedling at 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval.4. Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop.","507520"
"494 A","Torrent No.5","7.150561","80.77535","Land erosion","1. Construction of leader drain across streams -1m(W)x1m(H).2. Boulder /Rubble dams (SABO) across streams to trap sediment-Size 3m(L)x2m(W)x1m(H). 3. Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop.","499200"
"494 A","Torrent No.7","7.151991","80.77506","Land erosion","1. Construction of leader drain across streams -1m(W)x1m(H).2. Boulder /Rubble dams (SABO) across streams to trap sediment-Size 3m(L)x2m(W)x1m(H). 3. Vegetative cover improving with Areca nut seedling at 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval.4. Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop.","568620"
"494 A","Torrent No.8","7.154145","80.77519","Land erosion","1. Construction of leader drain across streams -1m(W)x1m(H).2. Boulder /Rubble dams (SABO) across streams to trap sediment-Size 3m(L)x2m(W)x1m(H). 3. Vegetative cover improving with Areca nut seedling at 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval.4. Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop.","1091090"
"494 A","Torrent No.9 (Keenagahawala Kandura)","7.154553","80.77452","Land erosion","1. Construction of leader drain across streams -1m(W)x1m(H).2. Boulder /Rubble dams (SABO) across streams to trap sediment-Size 3m(L)x2m(W)x1m(H). 3. Vegetative cover improving with Areca nut seedling at 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval.4. Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop.","507520"
"494 A","Torrent No.10","7.155676","80.77378","Land erosion","1. Construction of leader drain across streams -1m(W)x1m(H).2. Boulder /Rubble dams (SABO) across streams to trap sediment-Size 3m(L)x2m(W)x1m(H). 3. Vegetative cover improving with Areca nut seedling at 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval.4. Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop.","823940"
"494 A","Torrent No.11","7.15793","80.77397","Land erosion","1. Construction of leader drain across streams -1m(W)x1m(H).2. Boulder /Rubble dams (SABO) across streams to trap sediment-Size 3m(L)x2m(W)x1m(H). 3. Vegetative cover improving with Areca nut seedling at 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval.4. Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop.","1015040"
"494 A","Torrent No.12","7.15803","80.77308","Land erosion","1. Construction of leader drain across streams -1m(W)x1m(H).2. Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop","191100"
"494 A","Torrent No.13","7.159503","80.77264","Land erosion","1. Construction of leader drain across streams -1m(W)x1m(H).2. Boulder /Rubble dams (SABO) across streams to trap sediment-Size 3m(L)x2m(W)x1m(H). 3. Vegetative cover improving with Areca nut seedling at 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval.4. Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop.","1015040"
"494 A","Torrent No.14","7.159876","80.77166","Land erosion","1. Construction of leader drain across streams -1m(W)x1m(H).2. Boulder /Rubble dams (SABO) across streams to trap sediment-Size 3m(L)x2m(W)x1m(H). 3. Vegetative cover improving with Areca nut seedling at 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval.4. Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop.","828620"
"494 A","Torrent No.15","7.161479","80.77095","Land erosion","1. Construction of leader drain across streams -1m(W)x1m(H).2. Boulder /Rubble dams (SABO) across streams to trap sediment-Size 3m(L)x2m(W)x1m(H). 3. Vegetative cover improving with Areca nut seedling at 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval.4. Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop.","759720"
"494 A","Torrent No.16","7.161917","80.7702","Land erosion","1. Construction of leader drain across streams -1m(W)x1m(H).2. Boulder /Rubble dams (SABO) across streams to trap sediment-Size 3m(L)x2m(W)x1m(H). 3. Vegetative cover improving with Areca nut seedling at 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval.4. Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop.","1015040"
"494 A","Torrent No.17","7.161183","80.76923","Land erosion","1. Construction of leader drain across streams -1m(W)x1m(H).2. Boulder /Rubble dams (SABO) across streams to trap sediment-Size 3m(L)x2m(W)x1m(H). 3. Vegetative cover improving with Areca nut seedling at 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval.4. Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop.","1015040"
"494 A","Torrent No.18","7.16105","80.76893","Land erosion","1. Construction of leader drain across streams -1m(W)x1m(H).2. Boulder /Rubble dams (SABO) across streams to trap sediment-Size 3m(L)x2m(W)x1m(H). 3. Vegetative cover improving with Areca nut seedling at 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval.4. Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop.","568620"
"494 A","Torrent No.19","7.162448","80.76679","Land erosion","1. Boulder /Rubble dams (SABO) across streams to trap sediment-Size 3m(L)x2m(W)x1m(H). 2. Vegetative cover improving with Areca nut seedling at 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval.3. Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop.","495040"
"494 A","Torrent No.20 (Galpoththa Kandura)","7.162428","80.76675","Land erosion","1. Construction of leader drain across streams -1m(W)x1m(H).2. Boulder /Rubble dams (SABO) across streams to trap sediment-Size 3m(L)x2m(W)x1m(H). 3. Vegetative cover improving with Areca nut seedling at 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval.4. Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop.","568620"
"494 A","Torrent No.21","7.159868","80.77165","Land erosion","1. Construction of leader drain across streams -1m(W)x1m(H).2. Boulder /Rubble dams (SABO) across streams to trap sediment-Size 3m(L)x2m(W)x1m(H). 3. Vegetative cover improving with Areca nut seedling at 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval.4. Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop.","885040"
"495 D","Torrent flows from","7.180792","80.775","bank erosion on both sides","1. Boulder /Rubble dams (SABO) across streams to trap sediment-Size 3m(L)x2m(W)x1m(H). 2. Vegetative cover improving with Areca nut seedling at 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval.3. Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop.","495040"
"495 D","Delgahapitiya Meda kandura","7.181831","80.77472","bank erosion on both sides on rainy days","1. Boulder /Rubble dams (SABO) across streams to trap sediment-Size 3m(L)x2m(W)x1m(H). 2. Vegetative cover improving with Areca nut seedling at 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval.3. Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop.","247520"
"495","Elamal Wewa Kandura","7.176542","80.77848","Land erosion on both sides","1. Boulder /Rubble dams (SABO) across streams to trap sediment-Size 3m(L)x2m(W)x1m(H). 2. Vegetative cover improving with Areca nut seedling at 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval.3. Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop.","308620"
"495","Dead torrent near Abeyrathne's house","7.172993","80.78214","Land erosion on both sides","1. Construction of leader drain across streams -1m(W)x1m(H).2. Boulder /Rubble dams (SABO) across streams to trap sediment-Size 3m(L)x2m(W)x1m(H). 3. Vegetative cover improving with Areca nut seedling at 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval.4. Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop.","507520"
"495","Torrent near Premarathne's house","7.172456","80.78237","Land erosion on both sides","1. Construction of leader drain across streams -1m(W)x1m(H).2. Vegetative cover improving with Areca nut seedling at 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval.3. Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop.","390520"
"496 A","Kahitiye Oya","7.174264","80.76702","bank erosion of paddy fields on both sides","1. Vegetative cover improving, replanting bamboo species and vetiver grass or riparian species at 500mm grid interval.2. Vegetative cover improving with Areca nut seedling at 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval.","400530"
"496 A","Alawala Oya","7.177713","80.76711","bank erosion on both sides","1. Vegetative cover improving, replanting bamboo species and vetiver grass or riparian species at 500mm grid interval.2. Vegetative cover improving with Areca nut seedling at 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval.","962000"
"496 B","Minegaharawa Kandura","7.177991","80.76859","Soil erosion","1. Construction of leader drain across streams -1m(W)x1m(H).2. Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop.","382200"
"496 B","Torrent near Maha Vidyalaya","7.17887","80.76715","Erosion of the canal","1. Construction of leader drain across streams -1m(W)x1m(H)2. Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop.","382200"
"496 B","Alawala Oya","7.178642","80.7673","Soil erosion","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop.","61100"
"496 C","Kirinde Kandura","7.171873","80.76047","Soil erosion","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop.","305500"
"496 C","Pitala Kandura","7.175082","80.76053","Soil erosion","1. Construction of leader drain across streams -1m(W)x1m(H)2. Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop.","703300"
"496","Torrent 1","7.164555","80.76242","The culvert across the road is blocked with soil","1. Removing silt from canal bed depth up to 9\"-18\"2. 1. Construction of leader drain across streams -1m(W)x1m(H)3. Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop.","207991.875"
"496","Dodamgolla Kandura","7.163908","80.76353","Land erosion on both sides","1. Construction of leader drain across streams -1m(W)x1m(H)2. Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop.","321100"
"497 A","Kinsgway Watta Kandura (Aliya Watunu Dowa)","7.1776","80.75481","Washing away paddy lands on both sides","1. Boulder /Rubble dams (SABO) across streams to trap sediment-Size 3m(L)x2m(W)x1m(H). 2. Vegetative cover improving with Areca nut seedling at 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval.3. Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop.","675220"
"497 A","Narang Kandura","7.173411","80.74927","bank erosion on both sides","1. Boulder /Rubble dams (SABO) across streams to trap sediment-Size 3m(L)x2m(W)x1m(H). 2. Vegetative cover improving with Areca nut seedling at 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval.3. Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop.","614120"
