"Table 5.3: Key OFF-FARM activties proposed for soil and water conservation in MWS-012 belongs to Hanguranketha DS Division","","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","Coordinates","Quantity","Proposed measure s","Unit Cost  LKR","Total Cost  LKR","Contribution","Time frame for the implementation","NA"
"4","494","Damunumeya","1. Renovation of natural drains - Dead torrent in Damunumeya Kotawegedara road","3","7.171749","80.777519","260 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"26,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"2. Renovation of natural drains - Torrent near madawela Yaya","2","7.168947","80.776408","2.5 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"250,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"3. Renovation of natural drains - Randeniye Kandura","1","7.16801","80.776927","220 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"22,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
"Sub Total","298,000",,,,,,,,,,,
"5","494E","Damunumeya North","1. Renovation of natural drains - Alawala Oya","2","7.173447","80.775117","1.5 km","Planting some trees along the banks and other conservation practices",,"150,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Renovation of natural drains - Pilapitiya Kandura","1","7.17743","80.774187","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"100,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"3. Constructing a retaining wall  near Neelawathura stream","1","7.177888","80.773765","20 m x 3 m","Retaining Wall Concrete)",,"2,332,000","By the project","0.5 Years"
,,,"4. Constructing a retaining wall (driveway) - Welyawaththa","1","7.175978","80.773825","24 m x 2 m","Retaining Wall (Masonary)",,"1,056,000","By the project","0.5 Years"
"Sub Total","3,638,000",,,,,,,,,,,
"6","495D","Delgahapitiya","1. Renovation of natural drains - Torrent flows from Hanguranketha Wewa","1","7.180792","80.775","500 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"50,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Renovation of natural drains - Delgahapitiya Meda kandura","2","7.181831","80.774717","3 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"300,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"3 Constructing a retaining wall - Polwaththa Wewa road","1","7.182002","80.775462","9 m x 3 m","Retaining Wall Concrete)",,"1,056,000","By the project","0.25 Years"
"Sub Total","1,406,000",,,,,,,,,,,
"7","494D","Deliwala","1. Renovation of natural drains - Kottagaha Wella Kandura","4","7.171728","80.769993","1.25 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"125,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Renovation of natural drains - Dehipe Kandura","1","7.17057","80.768771","450 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"45,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
"Sub Total","170,000",,,,,,,,,,,
"8","492","Diya - Udagama","1. Renovation of natural drains - Bataketiya Kandura","4","7.16074","80.79512","2 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"200,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Renovation of natural drains - Torrent near Balawadeniya Tank","5","7.15777","80.794139","1.3 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"130,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"3. Renovation of natural drains - Maa Pela waterfall","1","7.167978","80.783494","2 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"200,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"4. Renovation of natural drains - Gorakgaha Kandura","1","7.160902","80.784407","2 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"200,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
"Sub Total","730,000",,,,,,,,,,,
"9","492B","Dodamkumbura","1. Renovation of natural drains - Gorakadanda Kandura","1","7.151656","80.790534","2.2 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"220,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Renovation of natural drains - Sellajja Kumbura Kandura","1","7.15474","80.788193","600 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"60,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"3. Renovation of natural drains - Ampitigala Kandura","3","7.156907","80.788308","1.3 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"130,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
"Sub Total","410,000",,,,,,,,,,,
"10","494A","Dolugala","1. Renovation of natural drains - Dolugala Torrent/Kandura No.1 (Dead torrent)","5","7.166891","80.765126","1.1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"110,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Renovation of natural drains - Torrent/Kandura No.2","5","7.149433","80.778317","300 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"30,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"3. Renovation of natural drains - Torrent No. 3/Kandura","1","7.14904","80.777612","400 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"40,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"4. Renovation of natural drains - Torrent No. 4/Kandura","1","7.149968","80.777663","600 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"60,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"5. Renovation of natural drains - Torrent No.5/Kandura","5","7.150561","80.775352","550 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"55,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"6. Renovation of natural drains - Torrent No. 6/Kandura","4","7.15067","80.775245","600 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"60,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"7. Renovation of natural drains - Torrent No. 7/Kandura","1","7.151991","80.775064","700 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"70,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"8. Renovation of natural drains - Torrent No. 8/Kandura","4","7.154145","80.775188","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"100,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"9. Renovation of natural drains - Torrent No.9 (Keenagahawala Kandura)/Kandura","5","7.154553","80.77452","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"100,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"10. Renovation of natural drains - Torrent/Kandura No. 10","5","7.155676","80.773783","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"100,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"11. Renovation of natural drains - Torrent/Kandura No. 11","4","7.15793","80.773967","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"100,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"11. Renovation of natural drains - Torrent/Kandura No. 12","4","7.15803","80.773077","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"100,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"13. Renovation of natural drains - Torrent/Kandura No. 13","4","7.159503","80.772635","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"100,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"14. Renovation of natural drains - Torrent/Kandura No. 14","3","7.159876","80.771661","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"100,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"15. Renovation of natural drains - Torrent/Kandura No. 15","4","7.161479","80.77095","2.4 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"240,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"16. Renovation of natural drains - Torrent/Kandura No. 16","4","7.161917","80.7702","1.3 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"130,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"17. Renovation of natural drains - Torrent/Kandura No. 17","5","7.161183","80.769227","1.5 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"150,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"18. Renovation of natural drains - Torrent/Kandura No. 18","4","7.16105","80.76893","1.2 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"120,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"19. Renovation of natural drains - Torrent/Kandura No. 19","4","7.162448","80.76679","1.3 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"130,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"20. Renovation of natural drains - Torrent/Kandura No. 20 (Galpoththa Kandura)","4","7.162428","80.766748","1.3 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"130,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"21. Renovation of natural drains - Torrent/Kandura No. 21","3","7.159868","80.771645","2 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"200,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
"Sub Total","2,225,000",,,,,,,,,,,
"11","495","Hanguranketha","1. Renovation of natural drains - Elamal Wewa Kandura","5","7.176542","80.778479","2.3 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"230,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Renovation of natural drains - Dead torrent/kandura near Abeyrathne's house","1","7.172993","80.782141","500 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"50,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"3. Renovation of natural drains - Torrent/kandura near Premarathne's house","2","7.172456","80.782372","500 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"50,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"4. Establising a drain - Near the Thissage (End of the Diyathilakapura)","5","7.171687","80.783576","60 m","Concrete Drain",,"3,613,500","By the project","0.25 Years"
,,,"7. Establising a drain - Diyathilakapura road","4","7.17252","80.78281","100 m","Concrete Drain",,"6,017,000","By the project","0.5 Years"
,,,"5. Constructing a retaining wall 1","1","7.176305","80.779594","30 m x 2 m","Retaining Wall (Masonary)",,"1,320,000","By the project","0.5 Years"
,,,"6. Constructing a retaining wall 2","1","7.176305","80.779594","20 m x 2 m","Retaining Wall (Masonary)",,"880,000","By the project","0.5 Years"
"Sub Total","12,160,500",,,,,,,,,,,
"12","496","Hapuwala","1. Renovation of natural drains - Torrent 1/Kandura","3","7.164555","80.762423","6 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"600,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Renovation of natural drains - Dodamgolla Kandura","3","7.163908","80.763525","3 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"300,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"3. Constructing a retaining","1","7.171733","80.757288","20 m x 2 m","Retaining Wall (Masonary)",,"880,000","By the project","0.5 Years"
"Sub Total","1,780,000",,,,,,,,,,,
"13","493A","Kottala","1. Renovation of natural drains - Heen Kandura","2","7.166362","80.783594","400 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"40,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"2. Renovation of natural drains - Kottala Kandura","1","7.166432","80.785188","600 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"60,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"3. Renovation of natural drains - Kottala Watta Kandura","3","7.167677","80.785945","500 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"50,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,"150,000",,,,,,,,,,,
"14","493","Madanwala","1. Renovation of natural drains - Bath Nawuma Kandura","3","7.162464","80.780903","3 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"300,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"2. Renovation of natural drains - Katugashinna Kandura","4","7.160395","80.778466","10 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"1,000,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"3. Renovation of natural drains - Walalawela Oya","2","7.159968","80.778207","1.3 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"130,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"4. Constructing a retaining wall - Madanwala Rajamaha Viharaya","3","7.162474","80.780882","10 m x 3 m","Retaining Wall (Concrete)",,"1,171,500","By the project","0.5 Years"
,,,"5. Constructing a retaining wall - Madanwala Rajamaha Viharaya","1","7.162976","80.780243","20 m x 3 m","Retaining Wall (Concrete)",,"2,332,000","By the project","0.5 Years"
"Sub Total","4,933,500",,,,,,,,,,,
"15","495C","Pallemaluwa","1. Renovation of natural drains - Torrent near Poodagoda paddy fields/Kandura","4","7.182251","80.773457","2 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"200,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
"Sub Total","200,000",,,,,,,,,,,
"16","495A","Pussalamankada","1. Renovation of natural drains - Torrent near Gannila paddy fields","4","7.186178","80.769198","3.5 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"350,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"2. Contructing retaing wall (2 x 150 m) - Gannila paddy fields","4","7.18621","80.76907","300 m x  2 m","Retaining Wall (Masonary)",,"13,200,000","Labour and other basic services by the Local community","0.5 Years"
"Sub Total","13,550,000",,,,,,,,,,,
"17","494C","Rathmetiya","1. Renovation of natural drains - Dodamgolla Mada kadura 1","1","7.159808","80.765428","3.5 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"350,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"2. Renovation of natural drains - Torrent/kandura near Abeykoon's house","3","7.153821","80.772766","4.5 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"450,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"3. Renovation of natural drains - Bogahalanga Kandura","4","7.151489","80.773946","3 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"300,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"4. Renovation of natural drains - Torrent/kandura in the boundary of Rathmetiya and Rikillagaskada","4","7.147793","80.777722","4.5 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"450,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"5. Constructing a side wall/retaining wall - Road near the Bogaha Kadura","4","7.151489","80.773946","6 m x 3 m","Retaining Wall (Concrete)",,"704,000","By the project","0.5 Years"
,,,"6. Constructing a side wall - Rathmetiya","2","7.150102","80.774654","9 m x 2 m","Retaining Wall (Masonary)",,"396,000","By the project","0.5 Years"
"Sub Total","2,650,000",,,,,,,,,,,
"18","497A","Rekitipe","1. Renovation of natural drains - Kinsgway Watta Kandura (Aliya Watunu Dowa)","3","7.1776","80.75481","1.5 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"150,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"2. Renovation of natural drains - Narang Kandura","3","7.173411","80.749274","2.5 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"250,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"3. Renovation of natural drains - Torrent in the reservation","1","7.171012","80.753238","1.8 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"180,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
"Sub Total","580,000",,,,,,,,,,,
"19","492A","Rikillagaskada","1. Renovation of natural drains - Galpotta Kandura","3","7.147795","80.782297","1.4 km","Clearing and planting some trees along the banks (Aracanut, Bamboo) and other conservation practices",,"140,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"2. Renovation of natural drains - Torrent near Diyabubula spring","4","7.146763","80.784477","350 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"35,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
"Sub Total","175,000",,,,,,,,,,,
"20","492C","Walalawela","1. Renovation of natural drains - Uda Oya","4","7.155091","80.779321","3.5 km","Planting some trees along the banks and other conservation practices",,"350,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
"Sub Total","350,000",,,,,,,,,,,
"21","495B","Yati Hanguranketha","1. Renovation of natural drains - Monarapola Kandura","5","7.189584","80.763944","2 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"200,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"2. Renovation of natural drains - Ma Oya","3","7.190609","80.763484","1.1 km","Planting some trees along the banks and other conservation practices",,"110,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
"Sub Total","310,000",,,,,,,,,,,
,,,,,,,,"Grand Total",,"61,328,500",,
