No,GND No.,Name of the minor irrigation structure,Coordinate N,Coordinate E,Observed problems,Proposal,Amount
53,495 C,Poodagoda Meda Ela,7.182266,80.772228,?urrently distributing water through pipes due to absence of a canal.,Construction of 0.3m Dia half round RCC pipe trough,"306,000.00"
54,495 C,Ambe Ela,7.18163,80.77353,? part of canal is not concrete lined.,"1. Canal reservation protection by concrete lining.
2. Earth filling the reservation
3. Vegetative cover and tree planting ","497,300.00"
55,495 A,Kibulliyadda canal,7.18621,80.76907,? part of canal is not concrete lined.,"1. Canal reservation protection by concrete lining.
2. Earth filling the reservation
3. Vegetative cover and tree planting ","293,000.00"
56,495 A,Gannila canal,7.18581,80.768962,?nable to distribute water to the paddy fields from the canal.,"1. Canal reservation protection by concrete lining.
2. Earth filling the reservation
3. Vegetative cover and tree planting ","252,700.00"
57,495 A,Gannila canal,7.18623,80.7684,? part of canal is not concrete lined.,"1. Canal reservation protection by concrete lining.
2. Vegetative cover and tree planting ","148,600.00"
58,495 A,Agalakubura canal,7.190124,80.763502,?he canal need to be rehabilitated.,"1. Canal reservation protection by concrete lining.
2. Earth filling the reservation
3. Vegetative cover and tree planting ","361,800.00"
59,497 A,Canal from the main road to Oyarawa,7.174399,80.75086,?nable to distribute water from a part the canal.,1. Canal reservation protection by concrete lining.,"1,348,300.00"
60,,,,,,2. Earth filling the reservation,
61,,,,,,3. Vegetative cover and tree planting,
62,497 A,Kade Kubura Ela,7.173411,80.749274,?he canal is silted.,1. Canal reservation protection by concrete lining.,"473,900.00"
63,,,,,,2. Desilting the canal,
64,,,,,,3. Earth filling the reservation,
65,,,,,,4. Vegetative cover and tree planting,
66,497 A,Kola Pelessa sub field canal,7.170689,80.749359,?he canal is not concrete lined and  is also silted.,1. Canal reservation protection by concrete lining.,"1,348,300.00"
67,,,,,,2. Desilting the canal,
68,,,,,,3. Earth filling the reservation,
69,,,,,,4. Vegetative cover and tree planting,
70,492 A,Naaya Ela,7.147777,80.783382,?eepages towards the field side.,1. Canal reservation protection by concrete lining.,"324,000.00"
71,,,,,,2. Earth filling the reservation,
72,,,,,,3. Vegetative cover and tree planting,
73,492 A,???????? ??? ??? ??? ??,7.147324,80.783533,?ater cannot be distributed due to absence of a proper canal.,1. Canal reservation protection by concrete lining.,"197,500.00"
74,,,,,,2. Canal excavation,
75,,,,,,3. Earth filling the reservation,
76,,,,,,4. Vegetative cover and tree planting,
77,492 A,Kumbukgaha Ela,7.14759,80.784025,? part of canal is not in a proper condition to distribute water. (L- 200m),"1. Canal reservation protection by concrete lining.
2. Earth filling the reservation
3. Vegetative cover and tree planting ","423,900.00"
78,492 A,Naaya Ela starting point,7.146658,80.783861,?ater cannot be distributed to the canal which is near the anicut .,"1. Construction of  culvert / drainage under crossing.  
2. Improvements to the existing anicut
3. Vegetative cover with tree planting","150,000.00"
79,492 A,???????? ?? ???? ?????,7.147143,80.784206,?bsence of a reservation.,1. Mark reservation and establish vegetative cover with tree planting.,"402,000.00"
80,492 C,Ange canal,7.153922,80.779947,?eepages towards the field side.,"1. Canal reservation protection by concrete lining.
2. Earth filling the reservation
3. Vegetative cover and tree planting ","423,900.00"
81,492 C,Iluk Arawa canal,7.156778,80.77833,?eepages towards the field side.,"1. Canal reservation protection by concrete lining.
2. Earth filling the reservation
3. Vegetative cover and tree planting ","355,100.00"
82,492 C,Epalanaya canal,7.157413,80.778518,? part of canal is not in a proper condition to distribute water.,"1. Canal reservation protection by concrete lining.
2. Earth filling the reservation
3. Vegetative cover and tree planting ","423,900.00"
83,492 C,Gammanarawa canal,7.157873,80.779202,?eepages towards the field side  and soil erosion .,"1. Canal reservation protection by concrete lining.
2. Earth filling the reservation
3. Vegetative cover and tree planting ","667,000.00"
84,495 B,Wadalawela canal,7.188793,80.762717,? part of canal is not concrete lined. (L- 300m),"1. Canal reservation protection by concrete lining.
2. Earth filling the reservation
3. Vegetative cover and tree planting ","1,134,000.00"
85,495 B,Wadalawela canal,7.188346,80.762324,?eepages towards the field side.,"1. Canal reservation protection by concrete lining.
2. Earth filling the reservation
3. Vegetative cover and tree planting ","310,500.00"
86,495 B,Wadalawela sub field canal,7.185606,80.761048,?eepages towards the field side.,"1. Canal reservation protection by concrete lining.
2. Earth filling the reservation
3. Vegetative cover and tree planting ","148,800.00"
87,496 A,Kanitiye anicut,7.174195,80.766896,?urrently distributing water by constructing a temporary anicut.,"1. Construction of 6.0m long x 0.9m high Anicut.
2. Improving the vegetative cover","310,300.00"
88,496 A,Aththanameya anicut,7.177713,80.767113,?eepages from the anicut.,"1. Construction of Curtain wall
2. Improving vegetative cover","94,000.00"
89,496 C,Malana anicut,7.175941,80.761233,"?he height of the anicut is insufficient, and there are no anicut gates."," 1. Construction of curtain wall
2. Supplying and fixing anicut planks
3. Improving vegetative cover","130,000.00"
90,494,Madawela anicut,7.169086,80.776263,?bsence of an anicut. Unable to distribute water.,"1. Construction of Anicut.
2. Improving vegetative cover","328,400.00"
91,494,Gal Ketane anicut,7.16801,80.776927,?bsence of an anicut.,"1. Construction of Anicut.
2. Improving vegetative cover","328,400.00"
92,494 E,Gedara Kubura anicut,7.173196,80.775296,?he height of the anicut is insufficient.,"1. Increasing the anicut height
2. Improving vegetative cover","142,400.00"
93,494 D,Walarawa anicut,7.171728,80.769993,?bsence of timber planks of anicut gates.,"1. Supplying and fixing anicut planks
2. Improving vegetative cover","125,000.00"
94,494 D,Dehipe anicut,7.170245,80.768403,?bsence of an anicut. Unable to distribute water.,"1. Construction of Anicut.
2. Improving vegitative cover","368,900.00"
95,494 D,Kadee anicut,7.168665,80.770759,Absence of an anicut. Distribute water trough a bamboo pipe.,"1. Construction of Anicut.
2. Improving vegitative cover","256,900.00"
96,492,Bataketiya anicut,7.159743,80.790455,?eepages from the anicut.," 1. Construction of curtain wall
2. Supplying and fixing anicut planks
3. Improving vegitative cover","125,000.00"
97,492 B,Gorakadanda Pahala anicut,7.151642,80.790409,?bsence of an anicut.,"1. Construction of Anicut.
2. Improving vegitative cover","328,400.00"
98,492 B,Uggal Arawa anicut,7.155317,80.7987506,?bsence of an anicut.,"1. Construction of Anicut.
2. Improving vegitative cover","328,400.00"
99,492 B,Iluk Kotuwa anicut,7.155769,80.788967,?bsence of an anicut.,"1. Construction of Rubble masonry wall.
2. Plastering the wall.
3. Improving vegitative cover","115,600.00"
100,492 B,Ampitigala Pahala anicut,7.157066,80.788578,?bsence of an anicut.,"1. Construction of Anicut.
2. Improving vegitative cover","328,400.00"
101,495,Uyanwaththa anicut,7.172487,80.780544,?urrently distributing water by constructing a temporary anicut.,"1. Construction of Anicut.
2. Improving vegitative cover","330,400.00"
102,493 A,Bathgala Heen Kadura main anicut,7.167073,80.783354,?he anicut is dilapidated.,"1. Construction of Anicut.
2. Improving vegitative cover","528,400.00"
103,493 A,Kottala Maha Kadura irrigation anicut,7.166535,80.785268,?he anicut is dilapidated.,"1. Construction of Anicut.
2. Improving vegitative cover","542,400.00"
104,493,Arawe anicut 2,7.160342,80.778476,?he anicut to be rehabilitated,"1. Construction of curtain wall
2. Improving vegetative cover ","140,000.00"
105,493,Arawe anicut 1,7.159912,80.778155,"?he anicut is dilapidated, and leaking.","1. Construction of curtain wall
2. Improving vegetative cover ","173,000.00"
106,495 C,Poodagoda anicut,7.18225,80.77383,?urrently distributing water by constructing a temporary anicut.,"1. Construction of Anicut.
2. Improving vegitative cover","328,400.00"
107,495 A,Agalakubura anicut,7.190285,80.764471,?bsence of an anicut.,"1. Construction of Anicut.
2. Improving vegitative cover","328,400.00"
108,492 C,Ange anicut,7.153542,80.780493,?he anicut is dilapidated.,"1. Construction of RCC wall
2. Construction of a curtain wall
3. Improving vegetative cover","230,000.00"
109,495 B,Wadalawela anicut (Arattana GND),7.1838,80.76018,?bsence of an anicut.,"1. Construction of Anicut.
2. Improving vegitative cover","787,400.00"
110,495 B,Anicut of Monaragala Kadura,7.190092,80.763655,?bsence of an anicut.,"1. Construction of Anicut.
2. Improving vegitative cover","632,400.00"
,,Total,,,,,"33,329,550.00"
