"Table 5.44: Cost estimates","","","","","","",""
"Type","Items Needed","GNDs Requested","Number","Unit Cost  Rs","Total Cost  Rs","Contribution     from line agency  GoSL","Final cost to LA  GoSL  Rs"
,"Supply of Insect Proof nets (3mx50m)",,"12","30,000","360,000.00","75%","270,000.00"
,"Supply of Bio films (500ml) bottles",,"20","1,250","25,000.00","100%","25,000.00"
,"Supply of Trichoderma (1-liter bottles)",,"10","1,000","10,000.00","100%","10,000.00"
,"Supply of Lakgrow neem 100ml bottles",,"20","1,000","20,000.00","100%","20,000.00"
"Improvement of Cultivation practices of Cabbage (10 Farmers with 1/4 ac)","Soil testing",,"10","290","2,900.00","100%","2,900.00"
,"Supply of Quality seeds (Variety Volcano or Oxilus)",,"250g","250,000.00","62,500.00","100%","62,500.00"
,"Supply of Neem (400ml bottles)",,"20","750.00","15,000.00","100%","15,000.00"
"Export Crops","Coffee","Analiyadda1-100, Arattana-100, Delgahapitiya-100, Diya udugama-100, Dolugala-100, Hapuwala-100, kottala-100, Pallemaluwa-100, Rathmetiya-100, Rikillahaskada-100, Yati Haguranketha-75","1075","30","32,250.00","100%","32,250.00"
,"Pepper","Abaliyadda1-500, Dampola-500, Damunumeya-200, Damunumeya North-125, Delgahapitiya-600, Diya udugama-600, Dolugala-500, Hapuwala-500, Kottala-350, Pallemaluwa-400, Pussalamankada-500, Rathmetiya-500, Rikillagaskada-500, Walalawela-250, Yati Haguranketha-500","6525","40","261,000.00","100%","261,000.00"
,"Vanila","Abaliyadda1-300, Hapuwala-300, Pallemaluwa-100, Pussalamankada-300,","1000","40","40,000.00","100%","40,000.00"
,"Clove","Dampola-100, Delgahapitiya-200, Diyawala-300, kottala- 30, Rathmetiya-300","930","130","120,900.00","100%","120,900.00"
,"Ginger","Abaliyadda1-200, Diyawala-300, Hapuwala-300, Pallemaluwa-200, Rathmetiya-300, Yati Haguranketha-10","1310","18","23,580.00","100%","23,580.00"
"Livestock","No of cow","Abaliyadda-4, Arattana-2, Dampola-4, Diya Udugama-4, Dolugala-4, Hapuwala-4, Kottala-2, Pallemaluwa-2, Pussalamankada-4, Rathmetiya-4, Rekitipe-4, Rikillagaskada-4, Walalawela-4","46","250,000.00","11,500,000.00","50%","5,750,000.00"
,"No of goat","Damunumeya-1, Diya udugama-10, Dolugala-8, Hapuwala-7, Kottala-1, Rathmetiya-6","33","40,000.00","1,320,000.00","50%","660,000.00"
,"No of chicks","Abaliyadda1-40, Arattana-40, Dampola-10, Damunumeya-30, Damunumeya North-20, Diya Udugama-40, Dolugala-20, Hapuwala-40, Kottala-6, Pallemaluwa-5, Pussalamankada-40, Rathmetiya-40, Rekitipe-40, Rikillagaskada-40, Walalawela-40, Yati Haguranketha-30","481","1,500.00","721,500.00","50%","360,750.00"
,"Incubator","Damunumeya-1, Delgahapitiya-1, Dolugala-1, Hapuwala-1, Kottala-1, Pallemaluwa-1, Rathmetiya-1, Rekitipe-1, Rikillagaskada-1, Walalawela-","10","60,000.00","600,000.00","50%","300,000.00"
,"No of sheds - cow","Abaliyadda-3 Arattana-2,Dampola-3, Diya Udugama-3, Dolugala-3, Hapuwala-2, Kottala-2, Pallemaluwa-2, Pussalamankada-3, Rathmetiya-2, Rekitipe-3, Walalawela-3","31","300,000.00","9,300,000.00","50%","4,650,000.00"
,"No of sheds - goat","Arattana-10, Dolugala-10, Hapuwala-7, Pallemaluwa-8, Rathmetiya-3","38","150,000.00","5,700,000.00","50%","2,850,000.00"
"Protected Agriculture","Polytunnel","Abaliyadda1-2, Arattana-2, Dampola-2, Damunumeya North-1, Hapuwala- 2, Kottala- 2, Pallemaluwa-2, Pussalamankada-2, Rekitipe-2, Rikillagaskada- 2, Walalawela-2, Yati haguranketha-2","23","700,000.00","16,100,000.00","50%","8,050,000.00"
"Value added products","Bee keeping (Box 4000/= & 4000/= bees)","Damunumeya-10, Delgahapitiya-4, Dolugala-10, Hapuwala-3, kottala-4, Pallemaluwa-5, Rathmetiya-10, Rekitipe-10, Rikillagaskada-2, walalawela-5","63","8,000.00","504,000.00","75%","378,000.00"
,"Black Pepper making machines (Balancing kit)","Hapuwala-1,","1","10,000.00","10,000.00","50%","5,000.00"
,"Curry powder grinding","Abaliyadda1-1, Arattana-1, Diya Udugama-1, Hapuwala- 1, Kottala-1, pallemaluwa-1, Pussalamankada-1","7","120,000.00","840,000.00","50%","420,000.00"
,"Jackfruit drying machines","Pallemaluwa-1, Rikillagaskada- 1, Walalawela-1","3","850,000.00","2,550,000.00","50%","1,275,000.00"
,"Ginger slicing machine","Pallemaluwa-1, Rikillagaskada- 1, Walalawela-1","3","150,000.00","450,000.00","50%","225,000.00"
"Total Cost",,,,,"50,073,230.00",,"29,448,060.00"
