No.,GN Division No.,GN Division,Key Activities proposed for Soil and Water conservation,Priority based on Soil Erosion Hazard,On/Off Site,N,E,Quantity,Proposed measure/s,Unit Cost (Rs.),Total Cost (Rs.),Total Sum (Rs.),"Contribution (Local Community, LA, and the project)",Time frame for the implementation
123,492A,Rikillagaskada,2. Renovation of natural drains - Torrent near Diyabubula spring,4,Off,7.146763,80.784477,350 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"35,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
124,492A,Rikillagaskada,3. Soil conservation practices - Helapita (70°) - Diyabubula,2,On,7.147654,80.784004,24 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"6,000,000.00","6,175,000.00",Labour and other basic services by the Local community,0.5 Years
125,492C,Walalawela,1. Renovation of natural drains - Uda Oya,4,Off,7.155091,80.779321,3.5 km,Planting some trees along the banks and other conservation practices,,"350,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
126,492C,Walalawela,2. Soil conservation practices (75°) - Walalawela,4,On,7.157258,80.779805,4.8 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"1,200,000.00","1,550,000.00",Labour and other basic services by the Local community,0.25 Years
127,495B,Yati Hanguranketha,1. Renovation of natural drains - Monarapola Kandura,5,Off,7.189584,80.763944,2 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"200,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
128,495B,Yati Hanguranketha,2. Renovation of natural drains - Ma Oya,3,Off,7.190609,80.763484,1.1 km,Planting some trees along the banks and other conservation practices,,"110,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
129,495B,Yati Hanguranketha,"3. Soil conservation practices (85°) - (Dewalkona Alawala)
lands on both sides of the river",4,On,7.184935,80.760787,1.2 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"300,000.00",,Labour and other basic services by the Local community,0.25 Years
130,495B,Yati Hanguranketha,4. Soil conservation practices (50°) - Monarapola,2,On,7.186288,80.766064,2.4 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"600,000.00",,Labour and other basic services by the Local community,0.25 Years
131,495B,Yati Hanguranketha,5. Soil conservation practices (80°) - Both sides of the Monarapola Kandura,4,On,7.186086,80.766337,0.5 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"125,000.00",,Labour and other basic services by the Local community,0.25 Years
132,495B,Yati Hanguranketha,6. Soil conservation practices (45°) - Monarapola,1,On,7.186011,80.7669,4 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"1,000,000.00","               2,335,000.00  ",Labour and other basic services by the Local community,0.5 Years
Grand Total,,,,,,,,,,,"126,376,300.00",,,
