"Table 5.19: Estimates for the rehabilitation of minor irrigation in MWS-036","","","","","",""
"GND No","Name of Irrigation System","N","E","Observation","Description","Amount  LKR"
"517A","Damunagaha Arawe Canal","7.09319","80.87572","Part of the existing canal has been concreted and balance part earthen canal, Command area 5.0 acres","Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking      Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m     Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","561,000"
"517A","Ittagala Canal","7.092253","80.87498","Part of the existing canal has been concreted and balance part earthen canal, Command area 6.0 acres","Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking     
Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m     Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","561,000"
"517A","Gamawela Canal","7.092196","80.88015","Part of the existing canal has been concreted and balance part earthen canal, Command area 60.0 acres","Canals reservation protection by concrete lining For 125mm thick, 0.5m wide and 0.4m high canal -double        Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m     Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","5,450,500"
"517A","Apada Canal","7.09498","80.879","Part of the existing canal has been concreted and balance part earthen canal, A canal constructed to drain the water in the landslide area.","Canals reservation protection by concrete lining For 125mm thick, 0.5m wide and 0.4m high canal -double        Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m     Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","1122000"
"517B","Halmee Ela","7.083158","80.885796","Existing Earthen canal, Command area 40.0 acres","Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking      Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m     Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","2,167,000"
"517B","Watawalkele Ela Pussalapitiya Middle Canal","7.081865","80.888537","Existing Earthen canal, A anicut of Construct stone and earth, Command area 12.0 acres","Construction of 0.9 m high Weir across stream excluding abutments and stop planks","2,656,500"
,,,,,"Construction of 1.0m high 1:3:6 (40mm) cement concrete Retaining Wall",
,,,,,"75mm tk. Stop planks (kumbuk) with 10mm dia. 2nos. M. S. Iron hooks and applies 2 coats of hot tar.",
,,,,,"Supply & install of 300 mm CI gate complete set including Spindle, Housing, Base plate, Closing plate, Key, Brass nut, and other required accessories. (This rate is excluding of transport of materials)",
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking",
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
"517B","Rambuke Aswedduma Ela","7.083207","80.885558","Existing Earthen canal, A anicut of Construct stone and earth, Command area 20.0 acres","Construction of 0.9 m high Weir across stream excluding abutments and stop planks","1,402,500"
,,,,,"Construction of 1.0m high 1:3:6 (40mm) cement concrete Retaining Wall",
,,,,,"75mm tk. Stop planks (Kumbuk) with 10mm dia. 2nos. M. S. Iron hooks and applies 2 coats of hot tar.",
,,,,,"Supply & install of 300 mm CI gate complete set including Spindle, Housing, Base plate, Closing plate, Key, Brass nut, and other required accessories. (This rate excluding of transport of materials)",
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking",
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
"517C","Palugedarawatta Anicut","7.08995","80.88806","Existing concrete anicut has damaged.","Minor repairs to the existing anicut","27,500"
"517C","Palugedarawatta Canal","7.09081","80.88793","35m long Part of the existing canal has been concreted and balance part earthen canal, Existing concrete canal damaged, Command area 11.0 acres","Demolishing and removing collapsedconcrete lining 30 m away from reservation","1,710,500"
,,,,,"Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking",
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
"517D","Arampitiya Canal","7.09313","80.88583","Part of the existing canal has been concreted and balance part earthen canal, Command area 38.0 acres","Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking","3,492,500"
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
"517D","Sillu Athula Canal","7.09303","80.88761","A 10m section of the canal has collapsed. Command area 8.0 acres","Site preparation & setting out","5,967,500"
,,,,,"Earth excavation for foundation or quarry materials and haul the surplus materials up to 30m by Manually.",
,,,,,"Plywood form work including making, fixing & removing for structure -05 uses",
,,,,,"Cutting, Bending & Placing tor steel reinforcement bars",
,,,,,"1:3:6 (40mm) concrete with concrete mixer (volume batching)",
,,,,,"1:2:4 (20mm) concrete with concrete mixer (volume batching)",
,,,,,"Spreading, Leveling and Compacting Manually Using Standard Cast Iron Stamper or Equivalent and Filling in 150-225 mm Thick Layers (Loose Volume)",
,,,,,,
,,,,,"Machine transport",
"517D","Hapugaha Ella Canal","7.09088","80.88576","Existing Earthen canal, A anicut of Construct stone and earth, Command area 12.0 acres","Construction of 0.9 m high Weir across stream excluding abutments and stop planks","3,536,500"
,,,,,"Construction of 1.0m high 1:3:6 (40mm) cement concrete Retaining Wall",
,,,,,"75mm tk. Stop planks (Kumbuk) with 10mm dia. 2nos. M. S. Iron hooks and applies 2 coats of hot tar.",
,,,,,"Supply & install of 300 mm CI gate complete set including Spindle, Housing, Base plate, Closing plate, Key, Brass nut, and other required accessories. (This rate is excluding of transport of materials)",
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking",
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
"517D","Galkotuwe Canal","7.09239","80.88583","Existing Earthen canal, Command area 18.0 acres","Scarifying existing rock or concrete surface","1,606,000"
,,,,,"Supplying and fixing M.S. dowels spliced and dovetailed with wedge at one end 16mm dia. And 600mm long, boring holes to 0.3m depth in fixing",
,,,,,"Plywood form work including making, fixing & removing for structure -05 uses",
,,,,,"1:2:4 (20mm) concrete with concrete mixer (volume batching)",
,,,,,"Tidying up",
"517D","Meda Arawa Canal","7.09118","80.8861","Part of the existing canal has been concreted and balance part earthen canal, Command area 18.0 acres","Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking","1,606,000"
,,,,,,
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,,
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
"519","Gamawela Anicut and Canal","7.099467","80.903104","100m long rectangular concrete lining is constructed as following dimension 400mm x 400mm (width x height) wall thickness is 150mm.","Scarifying existing rock or concrete surface","473,000"
,,,,,"Supplying and fixing M.S. dowels spliced and dovetailed with wedge at one end 16mm dia. And 600mm long, boring holes to 0.3m depth in fixing",
,,,,,"Plywood form work including making, fixing & removing for structure -05 uses",
,,,,,"1:2:4 (20mm) concrete with concrete mixer (volume batching)",
,,,,,"Tidying up",
"519","Gamawela Sub Canal 1","7.103556","80.899014","Part of the existing canal has been concreted and balance part earthen canal","Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking","1,749,000"
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
"519","Gamawela Sub Canal 2","7.102946","80.899704","Part of the existing canal has been concreted and balance part earthen canal","Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking","1,610,400"
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
"519","Gamawela Sub Canal 3","7.103156","80.899484","Part of the existing canal has been concreted and balance part earthen canal","Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking","1,606,000"
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
"519","Galpoththarawa Anicut and Canal","7.104496","80.900534","Part of the existing canal has been concreted and balance part earthen canal","Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking","770,000"
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
"519A","Udawela Canal","7.10165","80.90104","Part of the existing canal has been concreted and balance part earthen canal, The Anicut is constructed using concrete but fully damaged, Command area 33.0 acres","Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking","3,569,500"
,,,,,"Construction of 1.0m high 1:3:6 (40mm) cement concrete Retaining Wall",
,,,,,"75mm tk. Stop planks (kumbuk) with 10mm dia. 2nos. M. S. Iron hooks and applies 2 coats of hot tar.",
,,,,,"Supply & install of 300 mm CI gate complete set including Spindle, Housing, Base plate, Closing plate, Key, Brass nut, and other required accessories. (This rate is excluding of transport of materials)",
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Construction of 2.0m high 1:3:6 (40mm) cement concrete Retaining Wall",
,,,,,"Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking",
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
"519A","Badale Canal","7.10156","80.89923","Part of the existing canal has been concreted and balance part earthen canal, Command area 18.0 acres","Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking","1,886,500"
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
"519A","Yalkumbura Canal","7.10611","80.89702","Existing Earthen canal, The Anicut is constructed using concrete but fully damaged, Command area 42.0 acres","Construction of 0.9 m high Weir across stream excluding abutments and stop planks","4,290,000"
,,,,,"Construction of 1.0m high 1:3:6 (40mm) cement concrete Retaining Wall",
,,,,,"75mm tk. Stop planks (kumbuk) with 10mm dia. 2nos. M. S. Iron hooks and applies 2 coats of hot tar.",
,,,,,"Supply & install of 300 mm CI gate complete set including Spindle, Housing, Base plate, Closing plate, Key, Brass nut, and other required accessories. (This rate is excluding of transport of materials)",
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking",
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
"519A","Galpoththa Arawa Canal","7.10554","80.89805","The Anicut is constructed using concrete ( 2.7m long with 900mm x 450mm, 2 opening), Part of the existing canal has been concreted and balance part earthen canal, Command area 15.0 acres","Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking","1,914,000"
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Minor repairs to the Anicut",
"519A","Narangahayata Watta Canal and Anicut","7.10089","80.89835","Existing Earthen canal, A anicut of Construct stone and earth, Command area 4.0 acres","Construction of 0.6 m high Weir across stream excluding abutments and stop planks","1,661,000"
,,,,,"Construction of 1.0m high 1:3:6 (40mm) cement concrete Retaining Wall",
,,,,,"75mm tk. Stop planks (kumbuk) with 10mm dia. 2nos. M. S. Iron hooks and applies 2 coats of hot tar.",
,,,,,"Supply & install of 300 mm CI gate complete set including Spindle, Housing, Base plate, Closing plate, Key, Brass nut, and other required accessories. (This rate is excluding of transport of materials)",
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking",
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
"519A","Perathenna Anicut and Canal","7.0968","80.89687","Existing Earthen canal, A anicut of Construct stone and earth, Command area 16.0 acres","Construction of 0.6 m high Weir across stream excluding abutments and stop planks","2,189,000"
,,,,,"Construction of 1.0m high 1:3:6 (40mm) cement concrete Retaining Wall",
,,,,,"75mm tk. Stop planks (kumbuk) with 10mm dia. 2nos. M. S. Iron hooks and applies 2 coats of hot tar.",
,,,,,"Supply & install of 300 mm CI gate complete set including Spindle, Housing, Base plate, Closing plate, Key, Brass nut, and other required accessories. (This rate is excluding of transport of materials)",
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking",
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
"519A","Kehelwatta Canal","7.0994","80.90051","Existing Earthen canal, Command area 10.0 acres","Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking","1,045,000"
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
"519A","Galkumbura Canal","7.10128","80.8982","Existing Earthen canal, Command area 6.0 acres","Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking","594,000"
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
"519B","Arawa Canal","7.09983","80.89245","Existing Earthen canal, A anicut of Construct stone and earth, Command area 3.0 acres","Construction of 1.2 m high Weir across stream excluding abutments and stop planks","3,311,000"
,,,,,"Construction of 1.5m high 1:3:6 (40mm) cement concrete Retaining Wall",
,,,,,"75mm tk. Stop planks (kumbuk) with 10mm dia. 2nos. M. S. Iron hooks and applies 2 coats of hot tar.",
,,,,,"Supply & install of 300 mm CI gate complete set including Spindle, Housing, Base plate, Closing plate, Key, Brass nut, and other required accessories. (This rate is excluding of transport of materials)",
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking",
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
"519B","Kumbukwela Anicut","7.10005","80.89156","Existing Earthen canal, A anicut of Construct stone and earth, Command area 10.0 acres","Construction of 1.2 m high Weir across stream excluding abutments and stop planks","2,475,000"
,,,,,"Construction of 1.5m high 1:3:6 (40mm) cement concrete Retaining Wall",
,,,,,"75mm tk. Stop planks (kumbuk) with 10mm dia. 2nos. M. S. Iron hooks and applies 2 coats of hot tar.",
,,,,,"Supply & install of 300 mm CI gate complete set including Spindle, Housing, Base plate, Closing plate, Key, Brass nut, and other required accessories. (This rate is excluding of transport of materials)",
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking",
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,,
"519B","Udanawela Canal","7.10265","80.89307","Existing Earthen canal, Command area 25.0 acres","Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking","2,585,000"
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
"519B","Pallenawela Canal","7.10290","80.893","Existing Earthen canal, Command area 18.0 acres","Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking","1,679,700"
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
"519B","Galgode Middle Canal","7.103","80.89346","Existing Earthen canal, A anicut of Construct stone and earth, Command area 8.0 acres","Construction of 0.9 m high Weir across stream excluding abutments and stop planks","3,157,000"
,,,,,"Construction of 1.5m high 1:3:6 (40mm) cement concrete Retaining Wall",
,,,,,"75mm tk. Stop planks (Kumbuk) with 10mm dia. 2nos. M. S. Iron hooks and applies 2 coats of hot tar.",
,,,,,"Supply & install of 300 mm CI gate complete set including Spindle, Housing, Base plate, Closing plate, Key, Brass nut, and other required accessories. (This rate is excluding of transport of materials)",
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking",
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
"519B","Diyambalapitiya Canal","7.1018","80.889","Existing Earthen canal, Command area 10.0 acres","Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking","2,156,000"
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Construction of 6m long Trough (with 0.50m x 0.40m section), 1 no of 6 m long span",
"519B","Yombuwelthenna Canal","7.10374","80.89362","Existing Earthen canal, Command area 25.0 acres","Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking","2,585,000"
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
"519B","Galgoda Canal","7.10357","80.89345","Existing canal has been concreted, Bed concrete should be removed and reconstruct","Demolishing and removing collapsedconcrete lining 30 m away from reservation","2,178,000"
,,,,,"Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking",
"519C","Udaliyadda Canal","7.11814","80.89670","Part of the existing canal has been concreted and balance part earthen canal, Command area 8.0 acres","Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking","731,500"
