"Table 6.20: Time frame for implementing domestic water and water source protection","","","","","",""
"GND No","Description","N","E","Observation","Description 1","Amount  Rs"
"506 D","Udabitthara anicut","7.103292","80.833430","A anicut of Construct stone and earth","Construction of 8.0m long x 1.2m height anicut with 02 nos x 0.9m x 1.2m openings, supplying of  3\" thick CL I timber planks for each opening, supplying and fixing of 9\" Dia CI gate inclusive of all arrangementsVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlingsand dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenanceMiscellaneous","545,000.00"
"506 D","Udabitthara Canal","7.104023","80.833055","About 30m of the canal was concreted, but it is badly dilapidated. The rest remains as an earthen canal. 10 Acres of paddy is cultivated from this canal","Canals reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenanceVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenancePaving available stones nearby along the stream banks to prevent erosionMiscellaneous","400,000.00"
"506 D","Keenagahaella Canal","7.106214","80.831564","Its located on the one side of the concrete road. (built to carry agricultural produce. Road width = 0.9m)  Remains as an earthen canal. 25 Acres of lands is cultivated from this canal.","Canals reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenanceVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenancePaving available stones nearby along the stream banks to prevent erosionMiscellaneous","1,205,000.00"
"506 D","Ihalagedara Anicut","7.109368","80.830074","A anicut of Construct stone and earth","Construction of 4.0m long x 0.9m height anicut with 02 nos x 0.9m width openings, supplying of  3\" thick CL I timber planks for each opening, supplying and fixing of 9\" Dia CI gate inclusive of all arrangementsVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlingsand dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenanceMiscellaneous","290,000.00"
"506 D","Ihalagedara Canal","7.110656","80.828709","PVC Pipes (d=.3m) and earthen canal used to carry water to the crops. 7 Acres of lands is cultivated from this canal.","Canals reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingPaving available stones nearby along the stream banks to prevent erosionMiscellaneous","410,000.00"
"506 D","Jamanaran Mulla Canal","7.107436","80.830785","Remains as an earthen canal. 5 Acres of lands is cultivated from this canal.","Canals reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenanceVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenancePaving available stones nearby along the stream banks to prevent erosionMiscellaneous","235,000.00"
"506 D","Ella Canal","7.107552","80.830081","Already developed",,
"506 D","Tikiri aswedduma Canal","7.106985","80.829852","The total length of canal is 150m. 40m of witch is concreted (W=0.3m , H=0.3m). The rest remains as an earthen canal. 10 Acres of lands is cultivated from this canal.","Canals reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenanceVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenancePaving available stones nearby along the stream banks to prevent erosionMiscellaneous","390,000.00"
"506 D","Suduhakurathenna Canal","7.106041","80.829472","Remains as an earthen canal. 5 Acres of lands is cultivated from this canal.","Canals reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenanceVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenancePaving available stones nearby along the stream banks to prevent erosionMiscellaneous","235,000.00"
"506 D","Keenagahawattha Canal","7.10817","80.830752","The total length of canal is 250m. 180m of witch is concreted (W=0.45m , H=0.3m). The rest remains as an earthen canal. 20 Acres of lands is cultivated from this canal.","Canals reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenanceVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenancePaving available stones nearby along the stream banks to prevent erosionMiscellaneous","365,000.00"
"506 E","Yakmedilla Anicut","7.11319","80.828788","There is an anicut built of concrete.","Minor repairs to the existing anicutMiscellaneous","30,000.00"
"506 E","Yakmedilla Canal","7.118259","80.827206","250m section of canal  should be concreted, Command area 65.0 acres","Canals reservation protection by concrete lining  For  125mm thick , 0.5m  wide  and 0.4m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenanceVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceMiscellaneous","1,705,000.00"
"506 E","Madumana Anicut","7.10866","80.8321","There is an anicut built of concrete.","Minor repairs to the existing anicutMiscellaneous","30,000.00"
"506 E","Madumana Canal","7.109976","80.831617","500m of the existing canal has been concreted (height=0.3m, width=0.45m, thickness 0.125m). And the rest remains as an earthen canal. 70 Acres of paddy is cultivated from this canal. The canal is very dilapidated.","Canals reservation protection by concrete lining  For  125mm thick , 0.5m  wide  and 0.4m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenanceVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceRepairs to the existing canal liningMiscellaneous","2,475,000.00"
"506 E","Egodagedara Anicut","7.116014","80.826583","There is an anicut built of concrete.","Improvements to existing anicutMiscellaneous","20,000.00"
"506 E","Gedarakumbura Canal","7.116104","80.827124","200m section of canal  should be concreted, Command area 10.0 acres","Canals reservation protection by concrete lining  For  125mm thick , 0.5m  wide  and 0.4m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenanceVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceRepairs to the existing canal liningMiscellaneous","500,000.00"
"506 F","Ilukpelessa Maha Ela  (main canal)","7.123651","80.823284","The existing canal has been concreted (height=0.75m, width=0.6m, thickness 0.150m). 40 Acres of paddy is cultivated from this canal. But this canal is leacking water and more essential parts of the canal are to be concreted.","Canals reservation protection by concrete lining  For  125mm thick , 0.5m  wide  and 0.4m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenanceVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceMiscellaneous","1,750,000.00"
"506 F","Madawala daranda Canal","7.125921","80.821411","650m of the existing canal has been concreted (height=0.3m, width=0.3m, thickness 0.125m). And the rest remains as an earthen canal. 45 Acres of paddy is cultivated from this canal. The canal is very dilapidated.","Canals reservation protection by concrete lining  For  125mm thick , 0.5m  wide  and 0.4m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenanceVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceMiscellaneous","2,145,000.00"
"506 F","Adawala Meda Ela Canal","7.126378","80.821221","500m of the existing canal has been concreted (height=0.3m, width=0.45m, thickness 0.125m). And the rest remains as an earthen canal. 80 Acres of paddy is cultivated from this canal. The canal is very dilapidated.","Canals reservation protection by concrete lining  For  125mm thick , 0.5m  wide  and 0.4m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenanceVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceMiscellaneous","3,865,000.00"
"506 F","Kolongasthanna, Godaliyadda Canal","7.121913","80.8189376","250m of the existing canal has been concreted (height=0.3m, width=0.45m, thickness 0.125m). And the rest remains as an earthen canal. 12 Acres of paddy is cultivated from this canal. The canal is very dilapidated.","Canals reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenanceVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceMiscellaneous","610,000.00"
"506 F","Diyamanna Canal","7.124301","80.821614","The existing canal has been concreted 250m length(height=0.3m, width=0.3m, thickness 0.125m). The rest of the canal is an earthen canal.  5 Acres of paddy is cultivated from this canal. But this canal is leacking water","Repairing the existing canalMiscellaneous","10,000.00"
"513 F","Maduwelthanna Canal","7.124896","80.825627","The total length of the canal is 2.5km, 130m section should be concreted, Command area 10.0 acres","Canals reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenanceVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceMiscellaneous","545,000.00"
"513 F","Siyambalagaha Ella Canal","7.126295","80.825654","150m section of canal  should be concreted, Command area 15.0 acres","Canals reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenanceStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenanceMiscellaneous","710,000.00"
,,,,,,
,,,,"Total",,"30,220,000.00"
