"Table 6.19: Tentative Cost Estimate for Minor Irrigation-Related Recommendations","","","","","",""
"GND No","Description","N","E","Observation","Description 1","Amount  Rs"
"506 F","Kolongasthanna","7.121026","80.823696","Located near the Adawala Oya. The spring of water emerges from under a rock. A concrete wall (L=2.5m, H=0.45m)  is built on the side, the water collected and taken to the stock tank.","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlingsand dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","65,150.00"
"506 F","Ilukpelessa","7.119965","80.825185","Located on privet land (middle of the paddy). A tank (L=0.45m, W=0.45m, H=0.45) is made around the spring and the water is collected and taken to the stock tank. Water Is distributed from the stock tank. (Stock tank - H=2.5m, Dia.=6m) Water pipes here are often damaged by animals.","Providing GI pipes, pipe joints, etc.. to convey water","20,000.00"
"506 F","Karanda madiththa","7.124149","80.818720","Located on Small reserve land. (Approximately 8perch) There are kumbuk & areca-nut trees. A tank (L=0.45m, W=0.45m, H=0.45) is built around the spring and the water is collected and taken to the stock tank. Water Is distributed from the stock tank. (Stock tank - H=1.5m, W=1.2m, L=1.8m)","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlingsand dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","65,150.00"
"506 F","Diyamanna","7.124729     7.124369","80.821834    80.821514","Located on Small forest. A tank (L=0.6m, W=0.3m, H=0.3) is built around the spring. Homes get water directly from those tanks.","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlingsand dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","65,150.00"
"506 F","Ilukpalassa",,,"Rainwater tanks have been proposed to store water for cultivation during dry seasons","Construction of ferro cement storage tank of 35 cum - size internal 3m dia x4m high","650,000.00"
"513 F","No",,,,,
"514 A","Walapane Watta","7.12771","80.84101","About 15 families get water for drinking","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlingsand dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenanceVegetative cover improving, replanting bamboo species and vetiver grass or riparian species at 500mm grid interval including applying of complost manure, NPK fertilizer and maintenance","628,650.00"
,,,,,,
,,,,,,
,,,,"Total",,"3,391,671.33"
