"Table 6.18: Estimate of Domestic Water Supply-related activities","","","","","",""
"GND No","X Name of Spring and place","N","E","Observation","Description","Amount  Rs"
"506 D","Bataketiya Kandura","7.102242","80.836398","Located on land owned by alma estate. There is a significant amount of water. Not yet preserved.","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlingsand dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","65,150.00"
"506 D","Galliya Pathana 1","7.101953","80.832335","Located on privet land. A collecting pit (600mm x 600mm)  is constructed. There are some areca nut trees around the spring.","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlingsand dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","65,150.00"
"506 D","Galliya Pathana 2","7.102376","80.832205","Located on privet land. A collecting pit (750mm x 750mm)  is constructed.  Used for daily water consumption. There are some Huge trees around the spring.","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlingsand dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","65,150.00"
"506 D","Pihibiya kandura Water spring","7.107044","80.829634","A collecting pit (3m x 2m x 1m)  is constructed.  Used for daily water consumption. There are some Huge trees around the spring.","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlingsand dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","65,150.00"
"506 D","Gatathulawa","7.107223","80.83823","Natural Forest. The percentage of large trees is low.","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlingsand dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","88,650.00"
"506 D","varallamana","7.102024","80.833333","Natural Forest. The percentage of large trees is low.","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlingsand dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","60,450.00"
"506 D","Pihibiya galpoththa","7.107044","80.829634","Natural Forest. The percentage of large trees is low.","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlingsand dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","60,450.00"
"506 E","Bootawe Spring","7.108899","80.832931","The spring is located in the lake",,
"506 E","Pambe Spring","7.11747","80.832481","A small water tank is constructed to get drinking water","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlingsand dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","65,150.00"
"506 E","Bootawa Reserve","7.108854","80.832884","Reserve marked,","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlingsand dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","200,800.00"
"506 E","Pamba Reserve","7.115732","80.833727","Reserve marked, There are few large trees, Trees should be planted","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlingsand dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","200,800.00"
"506 E","Rukaththana Madiththa","7.113111","80.832918","The boundaries of the reserve should be marked","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlingsand dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","200,800.00"
"506 F","Karanda madiththa - Kumbuk gahamula water Spring","7.124149","80.818720","Located on Small reserve land. (Approximately 8perch) There are kumbuk & areca-nut trees. A tank (L=0.45m, W=0.45m, H=0.45) is built around the spring and the water is collected and taken to the stock tank. Water Is distributed from the stock tank. (Stock tank - H=1.5m, W=1.2m, L=1.8m)","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlingsand dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","65,150.00"
"506 F","Kolongasthanna Water Spring (Near the Adawala Oya)","7.121026","80.823696","Located near the Adawala Oya. The spring of water emerges from under a rock. A concrete wall (L=2.5m, H=0.45m)  is built on the side, the water collected and taken to the stock tank.","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlingsand dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","65,150.00"
"506 F","Kolongasthanna Water Spring (Near the Adawala Oya)","7.121026","80.823696","Located near the Adawala Oya. The spring of water emerges from under a rock. A concrete wall (L=2.5m, H=0.45m)  is built on the side, the water collected and taken to the stock tank.","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlingsand dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","65,150.00"
"506 F","Ilukpelessa water scheme","7.119965","80.825185","Located on privet land (middle of the paddy). A tank (L=0.45m, W=0.45m, H=0.45) is made around the spring and the water is collected and taken to the stock tank. Water Is distributed from the stock tank. (Stock tank - H=2.5m, Dia.=6m) Water pipes here are often damaged by animals.","Providing GI pipes, pipe joints, etc.. to convey water","20,000.00"
"513 F","Ambagaha Spring","7.133144","80.836983","Located in government land, About 10 families using this spring water for Drinking and bathing , Three tanks has been constructed for one is for bathing, second one is Drinking and other tank at the location of the spring.","1/2\" thick 1:3 cement mortar plastering to prevent leakages in liningConstruction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5 (New Distribution Tank)Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5 (Small Tank)Providing PVC pipes, pipe joints, etc.. to convey water","1,125,122.67"
"513 F","Thiththagala Kandura Spring","7.125659","80.825399","About 5 families are currently using the water, The small tank that has been constructed at the spring location is dilapidated. A water storage tank has been constructed and is in need of repair. As the water storage tank is on the roadside, a tap should be installed to get drinking water, As the tank has to be reached from the road through a canal, a slab has to be laid for it.","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5The filter should be constructed 1/2\" thick 1:3 cement mortar plastering to prevent leakages in the lining1:2:4 (3/4\") Cement concrete, hand mixing and placing - Construction of the cover plateInstallation of a tap in the water storage tank 1:2:4 (3/4\") Cement concrete, hand mixing and placing - Construction of 900mm x 750 mm x 100 m slab over stream Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlingsand dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","650,581.59"
,,,,,,
"514 A","Walapane Watta water source","7.12771","80.84101","About 15 families get water for drinking","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","561,750.00"
"514 A","Walapane Watta Spring 1","7.118886","80.83948",,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlingsand dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","65,150.00"
"514 A","Walapane Watta Spring 2","7.11875","80.83937",,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlingsand dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","65,150.00"
"514 A","Ramaliyadda Spring 3","7.1188","80.83974","Located in forest land, A Water storage tank (1.5m x 0.9 x 0.75m)  has been  constructed.","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlingsand dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","65,150.00"
"514 A","Spring 4","7.11851","80.8397","Located in forest land, A Water storage tank (1.5m x 1.3 x 0.5m)  has been  constructed.","1/2\" thk 1:3 cement motar plastering to prevent leakages in liningVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlingsand dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","71,314.44"
"514 A","Spring 5","7.11491","80.83933","Located in forest land, A Water storage tank (1.2m x 1.0 x 0.6m)  has been  constructed. Existing covering slab is damaged.","1:2:4 (3/4\") Cement concrete,hand mixing and placing - Construction of the cover plateVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlingsand dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","68,611.94"
"514 A","Walapane Watta","7.12771","80.84101","Around of the water source should be conserved","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlingsand dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","200,800.00"
,,,,,,
,,,,"Total",,"6,870,630.64"
