"Table 6.1: Key activities proposed for soil and water conservation in MWS-028","","","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","On Off Site","Coordinates","Quantity","Proposed measure s","Uniti Cost  Rs","Total Cost  Rs","Contribution  Local Community  LA  and the project","Time frame for the implementation","NA"
,,,"6. Renovation of natural drains - Pambe Ulpatha Kandura",,"Off","7.116748","80.831042","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"100,000.00","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"7. Soil conservation practices - Yakmadilla (50˚ - 60˚)","Landslide","On","7.115713","80.830171","10 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","2,500,000.00","Labour and other basic services by the Local community","0.5 Years"
,,,"8. Soil conservation practices - Madumana (50˚ - 60˚)",,"On","7.113408","80.833578","12 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","3,000,000.00","Labour and other basic services by the Local community","0.5 Years"
,,,"9. Soil conservation practices - Yakmadilla (60˚ - 70˚)",,"On","7.112826","80.829169","12 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","3,000,000.00","Labour and other basic services by the Local community","0.5 Years"
"Sub Total","9,310,000.00",,,,,,,,,,,,
"5","506 F","Ilukpelessa","1. Renovation of natural drains - Andawala Water Fall",,"Off","7.124301","80.821614","150 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"15,000.00","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"2. Renovation of natural drains - Ilukpelessa Maha Ela Canal (main canal)",,"Off","7.123651","80.823284","1.5 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"150,000.00","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"3. Renovation of natural drains - Madawala daranda Canal",,"Off","7.125921","80.821411","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"100,000.00","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"4. Renovation of natural drains - Adawala Meda Ela Canal",,"Off","7.126378","80.821221","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"100,000.00","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"5. Renovation of natural drains - Kolongasthanna, Godaliyadda Canal",,"Off","7.121913","80.8189376","350 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"35,000.00","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"6. Renovation of natural drains - Diyamanna Canal",,"Off","7.124301","80.821614","600 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"60,000.00","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"7. Renovation of natural drains - Kehelgolla kandura",,"Off","7.123365","80.818881","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"100,000.00","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"8. Renovation of natural drains - Madawala Pita kandura",,"Off","7.125023","80.821830","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"100,000.00","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"9. Renovation of natural drains - Adawala Oya",,"Off","7.124784","80.822354","1.5 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"150,000.00","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"10. Soil conservation practices - Illukpelessa (50-70°)",,"On","7.123741","80.823519","85 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","21,250,000.00","Labour and other basic services by the Local community","1.5 Years"
"Sub Total","22,060,000.00",,,,,,,,,,,,
"6","513 F","Andawala","1. Renovation of natural drains - Batagale Kandura",,"Off","7.125896","80.82617","1.2 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"120,000.00","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
"Sub Total","120,000.00",,,,,,,,,,,,
"7","514 A","Naranthalawa","1. Soil conservation practices - Walapane Watta (40˚ - 50˚)","Water catchment","On","7.12771","80.84101","8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","2,000,000.00","Labour and other basic services by the Local community","0.5 Years"
,,,"2. Renovation of natural drains - Ramaliyadda Kandura",,"Off","7.11902","80.83942","5 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"500,000.00","Labour and other basic services by the Local community","0.5 Years"
,,,"3. Renovation of natural drains - Malapattawe Kandura",,"Off","7.12317","80.8329","1.5 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"150,000.00","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"4. Soil conservation practices - Viru Gammanaya (60˚ - 70˚)",,"On","7.12988","80.83968","20 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","5,000,000.00","Labour and other basic services by the Local community","1 Year"
"Sub Total","7,650,000.00",,,,,,,,,,,,
,,,,,,,,,"Grand Total",,"58,593,700.00",,
